Speech Event	overlaps‰	overlap average length	% of overlaps with >2 words	overlaps with >2 words ‰ tokens
FOLK_E_00001_SE_01	13,63	2,08	26,32	3,59	
FOLK_E_00002_SE_01	4,94	1,53	13,33	0,66	
FOLK_E_00003_SE_01	37,68	1,91	24,50	9,23	
FOLK_E_00004_SE_01	16,08	1,80	17,61	2,83	
FOLK_E_00005_SE_01	15,95	1,86	22,22	3,54	
FOLK_E_00006_SE_01	13,57	2,15	25,68	3,48	
FOLK_E_00007_SE_01	15,31	2,05	22,45	3,44	
FOLK_E_00008_SE_01	9,76	2,42	30,65	2,99	
FOLK_E_00009_SE_01	12,57	1,77	20,97	2,63	
FOLK_E_00010_SE_01	42,38	2,22	33,91	14,37	
FOLK_E_00011_SE_01	53,21	2,06	27,11	14,43	
FOLK_E_00012_SE_01	38,74	2,12	27,14	10,51	
FOLK_E_00013_SE_01	17,04	1,61	14,29	2,43	
FOLK_E_00014_SE_01	19,22	1,79	19,12	3,67	
FOLK_E_00015_SE_01	17,88	1,76	17,61	3,15	
FOLK_E_00016_SE_01	5,93	1,96	25,93	1,54	
FOLK_E_00017_SE_01	15,29	2,32	28,00	4,28	
FOLK_E_00018_SE_01	31,21	2,73	36,57	11,41	
FOLK_E_00020_SE_01	47,57	2,46	36,76	17,49	
FOLK_E_00021_SE_01	98,72	2,19	30,17	29,79	
FOLK_E_00022_SE_01	21,43	2,40	35,06	7,51	
FOLK_E_00024_SE_01	51,60	2,52	35,85	18,50	
FOLK_E_00026_SE_01	28,85	2,55	34,99	10,09	
FOLK_E_00027_SE_01	21,65	2,42	34,91	7,56	
FOLK_E_00028_SE_01	36,63	1,68	14,12	5,17	
FOLK_E_00029_SE_01	29,60	2,05	20,34	6,02	
FOLK_E_00030_SE_01	33,41	2,18	28,57	9,55	
FOLK_E_00031_SE_01	38,90	2,22	30,30	11,79	
FOLK_E_00032_SE_01	16,63	2,32	34,85	5,79	
FOLK_E_00033_SE_01	20,85	2,70	33,33	6,95	
FOLK_E_00034_SE_01	19,63	2,02	31,46	6,18	
FOLK_E_00035_SE_01	21,78	1,92	24,74	5,39	
FOLK_E_00036_SE_01	16,07	2,05	25,33	4,07	
FOLK_E_00037_SE_01	9,84	2,09	26,47	2,60	
FOLK_E_00038_SE_01	25,86	1,90	17,44	4,51	
FOLK_E_00039_SE_01	22,06	1,68	18,68	4,12	
FOLK_E_00040_SE_01	46,95	2,08	26,23	12,31	
FOLK_E_00042_SE_01	72,99	2,97	43,28	31,59	
FOLK_E_00043_SE_01	28,73	2,70	46,38	13,32	
FOLK_E_00044_SE_01	27,57	2,32	31,41	8,66	
FOLK_E_00045_SE_01	45,17	2,30	29,77	13,45	
FOLK_E_00046_SE_01	63,18	3,13	46,87	29,61	
FOLK_E_00047_SE_01	30,84	2,15	29,96	9,24	
FOLK_E_00048_SE_01	70,93	2,29	30,50	21,64	
FOLK_E_00049_SE_01	37,45	2,42	38,66	14,48	
FOLK_E_00050_SE_01	56,82	2,73	40,16	22,82	
FOLK_E_00052_SE_01	52,01	2,24	29,95	15,58	
FOLK_E_00053_SE_01	61,75	2,28	32,50	20,07	
FOLK_E_00055_SE_01	79,82	2,17	29,08	23,21	
FOLK_E_00056_SE_01	31,50	2,06	28,34	8,93	
FOLK_E_00057_SE_01	19,51	1,98	22,03	4,30	
FOLK_E_00058_SE_01	19,24	2,54	34,92	6,72	
FOLK_E_00059_SE_01	16,48	2,62	39,10	6,44	
FOLK_E_00060_SE_01	27,29	2,45	31,85	8,69	
FOLK_E_00061_SE_01	16,78	2,01	23,17	3,89	
FOLK_E_00062_SE_01	23,75	2,56	37,74	8,96	
FOLK_E_00064_SE_01	9,79	2,63	37,80	3,70	
FOLK_E_00066_SE_01	32,98	2,72	39,56	13,05	
FOLK_E_00068_SE_01	15,75	2,18	28,38	4,47	
FOLK_E_00069_SE_01	19,97	2,37	30,86	6,16	
FOLK_E_00070_SE_01	11,86	2,19	30,11	3,57	
FOLK_E_00074_SE_01	31,24	1,63	13,98	4,37	
FOLK_E_00076_SE_01	8,95	1,89	27,78	2,49	
FOLK_E_00077_SE_01	26,92	1,72	14,15	3,81	
FOLK_E_00079_SE_01	40,04	2,03	27,67	11,08	
FOLK_E_00080_SE_01	44,19	2,38	36,19	15,99	
FOLK_E_00081_SE_01	36,38	2,18	25,64	9,33	
FOLK_E_00082_SE_01	96,12	2,66	38,55	37,05	
FOLK_E_00083_SE_01	15,59	1,59	13,25	2,07	
FOLK_E_00084_SE_01	31,19	2,40	36,32	11,33	
FOLK_E_00085_SE_01	11,63	2,25	25,00	2,91	
FOLK_E_00086_SE_01	28,29	2,34	32,89	9,31	
FOLK_E_00087_SE_01	26,73	2,16	15,69	4,19	
FOLK_E_00088_SE_01	36,96	2,11	29,20	10,79	
FOLK_E_00089_SE_01	28,01	1,84	19,32	5,41	
FOLK_E_00090_SE_01	26,73	1,88	21,05	5,63	
FOLK_E_00091_SE_01	27,24	1,68	16,67	4,54	
FOLK_E_00092_SE_01	109,84	2,13	22,95	25,21	
FOLK_E_00093_SE_01	19,39	2,00	30,36	5,89	
FOLK_E_00094_SE_01	17,73	1,72	16,67	2,95	
FOLK_E_00095_SE_01	25,80	1,87	23,19	5,98	
FOLK_E_00096_SE_01	12,56	1,08	0,00	0,00	
FOLK_E_00097_SE_01	43,20	1,85	20,27	8,76	
FOLK_E_00098_SE_01	18,49	1,56	12,00	2,22	
FOLK_E_00099_SE_01	31,47	1,72	21,05	6,62	
FOLK_E_00100_SE_01	24,75	1,73	25,32	6,27	
FOLK_E_00101_SE_01	29,47	1,97	22,11	6,51	
FOLK_E_00102_SE_01	11,73	1,76	17,65	2,07	
FOLK_E_00103_SE_01	41,89	1,96	24,18	10,13	
FOLK_E_00104_SE_01	26,75	1,62	16,22	4,34	
FOLK_E_00105_SE_01	39,29	1,96	24,24	9,53	
FOLK_E_00106_SE_01	34,17	1,69	15,38	5,26	
FOLK_E_00107_SE_01	15,78	1,78	16,67	2,63	
FOLK_E_00108_SE_01	32,05	2,03	24,29	7,78	
FOLK_E_00109_SE_01	17,53	1,56	14,81	2,60	
FOLK_E_00110_SE_01	29,36	1,80	18,28	5,37	
