Speech Event	overlaps‰	overlap average length	% of overlaps with >2 words	overlaps with >2 words ‰ tokens
GWSS_E_00001_SE_01	36,73	1,86	21,23	7,80	
GWSS_E_00002_SE_01	30,50	2,28	31,84	9,71	
GWSS_E_00003_SE_01	41,16	1,66	15,79	6,50	
GWSS_E_00004_SE_01	22,92	2,13	26,67	6,11	
GWSS_E_00005_SE_01	41,40	2,21	31,73	13,14	
GWSS_E_00006_SE_01	22,34	1,66	16,38	3,66	
GWSS_E_00007_SE_01	19,75	2,03	22,47	4,44	
GWSS_E_00008_SE_01	21,25	1,96	26,04	5,53	
GWSS_E_00009_SE_01	17,66	2,31	37,14	6,56	
GWSS_E_00010_SE_01	23,84	2,43	31,93	7,61	
GWSS_E_00011_SE_01	9,08	2,16	29,03	2,64	
GWSS_E_00012_SE_01	26,61	1,83	15,91	4,23	
GWSS_E_00013_SE_01	17,02	2,01	25,32	4,31	
GWSS_E_00014_SE_01	18,78	1,98	30,12	5,66	
GWSS_E_00015_SE_01	18,49	2,51	33,33	6,16	
GWSS_E_00016_SE_01	16,99	2,65	43,38	7,37	
GWSS_E_00017_SE_01	30,61	2,44	30,86	9,44	
GWSS_E_00018_SE_01	16,52	2,05	23,75	3,92	
GWSS_E_00019_SE_01	23,46	2,32	31,73	7,44	
GWSS_E_00020_SE_01	2,49	2,29	28,57	0,71	
GWSS_E_00021_SE_01	7,02	2,05	24,39	1,71	
GWSS_E_00022_SE_01	9,24	2,47	21,67	2,00	
GWSS_E_00023_SE_01	7,49	1,91	21,43	1,60	
GWSS_E_00024_SE_01	4,12	2,83	26,67	1,10	
GWSS_E_00025_SE_01	5,43	2,50	22,22	1,21	
GWSS_E_00026_SE_01	1,82	1,45	18,18	0,33	
GWSS_E_00027_SE_01	0,69	2,25	50,00	0,35	
GWSS_E_00028_SE_01	3,33	3,60	25,00	0,83	
GWSS_E_00029_SE_01	4,29	1,67	16,67	0,71	
GWSS_E_00030_SE_01	1,61	1,80	20,00	0,32	
GWSS_E_00031_SE_01	4,96	1,74	17,14	0,85	
GWSS_E_00032_SE_01	6,32	1,63	14,29	0,90	
GWSS_E_00033_SE_01	6,00	2,27	21,62	1,30	
GWSS_E_00034_SE_01	11,91	1,77	21,92	2,61	
GWSS_E_00035_SE_01	7,74	2,39	43,48	3,36	
GWSS_E_00036_SE_01	7,53	2,41	31,82	2,39	
GWSS_E_00040_SE_01	1,74	1,83	16,67	0,29	
GWSS_E_00041_SE_01	2,58	2,36	45,45	1,17	
GWSS_E_00042_SE_01	1,78	2,60	40,00	0,71	
GWSS_E_00047_SE_01	1,15	1,67	33,33	0,38	
GWSS_E_00050_SE_01	2,59	2,60	20,00	0,52	
GWSS_E_00051_SE_01	4,88	2,12	30,77	1,50	
GWSS_E_00052_SE_01	5,22	2,30	35,00	1,83	
GWSS_E_00053_SE_01	2,17	2,00	33,33	0,72	
GWSS_E_00054_SE_01	9,62	2,12	32,38	3,11	
GWSS_E_00055_SE_01	2,82	2,50	40,00	1,13	
GWSS_E_00056_SE_01	3,52	2,50	45,00	1,59	
GWSS_E_00057_SE_01	3,69	3,31	23,08	0,85	
GWSS_E_00058_SE_01	4,24	3,17	44,83	1,90	
GWSS_E_00059_SE_01	5,73	2,12	38,46	2,20	
GWSS_E_00060_SE_01	2,84	2,16	26,32	0,75	
GWSS_E_00061_SE_01	3,69	1,65	21,74	0,80	
GWSS_E_00062_SE_01	23,83	2,34	30,14	7,18	
GWSS_E_00063_SE_01	3,16	1,27	9,09	0,29	
GWSS_E_00064_SE_01	2,43	1,60	0,00	0,00	
GWSS_E_00065_SE_01	58,61	1,58	13,50	7,91	
GWSS_E_00066_SE_01	50,89	1,83	21,30	10,84	
GWSS_E_00067_SE_01	67,14	1,86	22,35	15,01	
GWSS_E_00069_SE_01	17,96	2,28	31,25	5,61	
GWSS_E_00070_SE_01	46,51	2,01	21,70	10,09	
GWSS_E_00071_SE_01	30,15	1,51	10,00	3,02	
GWSS_E_00072_SE_01	20,18	1,94	27,27	5,50	
GWSS_E_00073_SE_01	35,04	1,72	16,87	5,91	
GWSS_E_00074_SE_01	27,77	1,88	19,12	5,31	
GWSS_E_00075_SE_01	25,09	2,53	38,10	9,56	
GWSS_E_00076_SE_01	17,72	2,24	31,65	5,61	
GWSS_E_00077_SE_01	36,40	1,79	21,43	7,80	
GWSS_E_00078_SE_01	59,49	1,64	17,56	10,45	
GWSS_E_00079_SE_01	32,57	1,75	21,30	6,94	
GWSS_E_00080_SE_01	21,82	1,72	17,06	3,72	
GWSS_E_00081_SE_01	14,84	1,91	23,68	3,51	
GWSS_E_00082_SE_01	51,68	1,54	12,60	6,51	
GWSS_E_00083_SE_01	46,42	1,71	15,00	6,96	
GWSS_E_00084_SE_01	15,87	1,97	21,92	3,48	
GWSS_E_00085_SE_01	22,22	1,31	0,00	0,00	
GWSS_E_00086_SE_01	8,02	2,00	33,33	2,67	
GWSS_E_00087_SE_01	31,73	1,76	20,00	6,35	
GWSS_E_00088_SE_01	38,46	1,58	15,38	5,92	
GWSS_E_00089_SE_01	27,53	1,48	8,00	2,20	
GWSS_E_00090_SE_01	38,00	2,27	31,71	12,05	
GWSS_E_00091_SE_01	23,95	1,52	4,76	1,14	
GWSS_E_00092_SE_01	4,60	2,00	0,00	0,00	
GWSS_E_00093_SE_01	11,31	2,57	42,86	4,85	
GWSS_E_00094_SE_01	38,14	1,63	11,11	4,24	
GWSS_E_00095_SE_01	33,22	2,07	30,00	9,97	
GWSS_E_00096_SE_01	18,06	1,38	0,00	0,00	
GWSS_E_00097_SE_01	45,03	2,29	38,24	17,22	
GWSS_E_00098_SE_01	37,20	1,61	15,15	5,64	
GWSS_E_00099_SE_01	21,21	1,69	15,38	3,26	
GWSS_E_00100_SE_01	46,65	1,72	12,50	5,83	
GWSS_E_00101_SE_01	35,43	2,38	30,00	10,63	
GWSS_E_00102_SE_01	22,60	2,60	35,00	7,91	
GWSS_E_00103_SE_01	9,72	3,17	33,33	3,24	
GWSS_E_00104_SE_01	11,36	2,57	42,86	4,87	
GWSS_E_00105_SE_01	4,55	1,00	0,00	0,00	
GWSS_E_00106_SE_01	31,89	2,07	32,14	10,25	
GWSS_E_00107_SE_01	21,78	2,08	32,00	6,97	
GWSS_E_00108_SE_01	36,04	2,25	31,25	11,26	
GWSS_E_00109_SE_01	30,25	1,44	6,25	1,89	
GWSS_E_00110_SE_01	17,73	3,50	60,00	10,64	
GWSS_E_00111_SE_01	22,52	1,67	20,00	4,50	
GWSS_E_00112_SE_01	18,04	1,43	14,29	2,58	
GWSS_E_00113_SE_01	21,77	1,93	33,33	7,26	
GWSS_E_00114_SE_01	16,13	1,38	12,50	2,02	
GWSS_E_00115_SE_01	20,50	1,89	26,32	5,39	
GWSS_E_00116_SE_01	59,06	1,57	16,67	9,84	
GWSS_E_00117_SE_01	14,93	1,00	0,00	0,00	
GWSS_E_00118_SE_01	15,58	1,45	0,00	0,00	
GWSS_E_00119_SE_01	47,96	1,44	7,41	3,55	
GWSS_E_00120_SE_01	34,38	1,79	21,21	7,29	
GWSS_E_00121_SE_01	64,52	1,67	13,33	8,60	
GWSS_E_00122_SE_01	35,83	1,74	13,04	4,67	
GWSS_E_00123_SE_01	23,41	1,57	14,29	3,34	
GWSS_E_00124_SE_01	26,47	1,36	0,00	0,00	
GWSS_E_00125_SE_01	17,75	1,42	16,67	2,96	
GWSS_E_00126_SE_01	14,84	1,73	18,18	2,70	
GWSS_E_00127_SE_01	36,39	1,70	13,04	4,75	
GWSS_E_00128_SE_01	13,89	1,33	0,00	0,00	
GWSS_E_00129_SE_01	45,93	1,42	6,45	2,96	
GWSS_E_00130_SE_01	24,35	1,44	6,25	1,52	
GWSS_E_00131_SE_01	30,64	1,45	9,09	2,79	
GWSS_E_00132_SE_01	23,58	1,60	20,00	4,72	
GWSS_E_00133_SE_01	46,95	1,30	5,00	2,35	
GWSS_E_00134_SE_01	8,55	1,00	0,00	0,00	
GWSS_E_00135_SE_01	21,20	1,75	25,00	5,30	
GWSS_E_00136_SE_01	22,96	1,94	22,22	5,10	
GWSS_E_00137_SE_01	16,74	1,38	0,00	0,00	
GWSS_E_00138_SE_01	19,76	1,70	20,00	3,95	
GWSS_E_00139_SE_01	25,97	1,94	25,00	6,49	
GWSS_E_00140_SE_01	43,32	1,33	16,67	7,22	
GWSS_E_00141_SE_01	22,35	1,42	8,33	1,86	
GWSS_E_00142_SE_01	18,60	1,88	12,50	2,33	
GWSS_E_00143_SE_01	29,80	1,63	14,81	4,42	
GWSS_E_00144_SE_01	17,44	1,68	15,00	2,62	
GWSS_E_00145_SE_01	18,80	1,83	18,33	3,45	
GWSS_E_00146_SE_01	20,03	1,94	26,76	5,36	
GWSS_E_00147_SE_01	18,20	1,86	29,55	5,38	
GWSS_E_00148_SE_01	23,76	1,88	23,01	5,47	
GWSS_E_00149_SE_01	23,26	2,36	32,61	7,59	
GWSS_E_00150_SE_01	35,76	1,62	14,08	5,04	
GWSS_E_00151_SE_01	27,56	1,89	24,27	6,69	
GWSS_E_00152_SE_01	61,25	1,98	23,40	14,34	
GWSS_E_00153_SE_01	37,19	1,47	11,43	4,25	
GWSS_E_00154_SE_01	1,15	2,67	33,33	0,38	
GWSS_E_00155_SE_01	3,33	4,50	33,33	1,11	
GWSS_E_00156_SE_01	6,55	2,25	20,00	1,31	
GWSS_E_00157_SE_01	5,49	2,48	24,00	1,32	
GWSS_E_00158_SE_01	2,51	1,88	12,50	0,31	
GWSS_E_00159_SE_01	6,11	2,46	30,77	1,88	
GWSS_E_00160_SE_01	5,65	1,86	18,18	1,03	
GWSS_E_00161_SE_01	7,03	1,74	18,52	1,30	
GWSS_E_00162_SE_01	13,10	2,24	19,57	2,56	
GWSS_E_00163_SE_01	13,40	2,32	34,78	4,66	
GWSS_E_00164_SE_01	14,46	3,30	49,32	7,13	
GWSS_E_00165_SE_01	7,89	2,97	50,00	3,95	
GWSS_E_00166_SE_01	10,81	2,69	41,67	4,50	
GWSS_E_00167_SE_01	0,52	2,00	0,00	0,00	
GWSS_E_00168_SE_01	1,74	4,00	50,00	0,87	
GWSS_E_00169_SE_01	0,56	1,00	0,00	0,00	
GWSS_E_00170_SE_01	0,73	6,00	100,00	0,73	
GWSS_E_00171_SE_01	2,30	1,43	14,29	0,33	
GWSS_E_00172_SE_01	1,91	3,00	50,00	0,95	
GWSS_E_00173_SE_01	3,01	1,33	0,00	0,00	
GWSS_E_00174_SE_01	0,00	NaN	NaN	0,00	
GWSS_E_00175_SE_01	15,58	1,94	18,31	2,85	
GWSS_E_00176_SE_01	6,49	1,60	20,00	1,30	
GWSS_E_00177_SE_01	24,27	2,26	31,58	7,66	
GWSS_E_00178_SE_01	25,85	2,21	27,27	7,05	
GWSS_E_00179_SE_01	26,09	1,88	18,64	4,87	
GWSS_E_00180_SE_01	17,97	1,67	20,51	3,69	
GWSS_E_00181_SE_01	11,57	2,68	36,00	4,17	
GWSS_E_00182_SE_01	7,78	2,30	21,74	1,69	
GWSS_E_00183_SE_01	12,87	1,50	7,69	0,99	
GWSS_E_00184_SE_01	21,32	3,08	32,31	6,89	
