Speech Event	duration
FOLK_E_00001_SE_01	0:59:45
FOLK_E_00002_SE_01	0:31:01
FOLK_E_00003_SE_01	0:20:29
FOLK_E_00004_SE_01	1:26:47
FOLK_E_00005_SE_01	1:15:31
FOLK_E_00006_SE_01	0:41:58
FOLK_E_00007_SE_01	1:28:23
FOLK_E_00008_SE_01	0:56:14
FOLK_E_00009_SE_01	0:43:04
FOLK_E_00010_SE_01	0:47:56
FOLK_E_00011_SE_01	3:16:53
FOLK_E_00012_SE_01	0:40:03
FOLK_E_00013_SE_01	0:38:21
FOLK_E_00014_SE_01	0:31:08
FOLK_E_00015_SE_01	0:47:09
FOLK_E_00016_SE_01	0:43:01
FOLK_E_00017_SE_01	0:14:10
FOLK_E_00018_SE_01	0:21:38
FOLK_E_00020_SE_01	0:26:16
FOLK_E_00021_SE_01	5:30:09
FOLK_E_00022_SE_01	2:00:16
FOLK_E_00024_SE_01	2:36:01
FOLK_E_00026_SE_01	2:57:48
FOLK_E_00027_SE_01	0:33:32
FOLK_E_00028_SE_01	0:33:37
FOLK_E_00029_SE_01	0:14:51
FOLK_E_00030_SE_01	1:22:28
FOLK_E_00031_SE_01	0:18:27
FOLK_E_00032_SE_01	0:28:07
FOLK_E_00033_SE_01	0:31:21
FOLK_E_00034_SE_01	0:30:45
FOLK_E_00035_SE_01	0:30:53
FOLK_E_00036_SE_01	0:30:25
FOLK_E_00037_SE_01	0:29:25
FOLK_E_00038_SE_01	0:29:08
FOLK_E_00039_SE_01	1:03:09
FOLK_E_00040_SE_01	1:11:31
FOLK_E_00042_SE_01	1:04:34
FOLK_E_00043_SE_01	0:15:35
FOLK_E_00044_SE_01	0:31:39
FOLK_E_00045_SE_01	0:27:19
FOLK_E_00046_SE_01	0:33:39
FOLK_E_00047_SE_01	0:57:56
FOLK_E_00048_SE_01	0:53:42
FOLK_E_00049_SE_01	0:29:59
FOLK_E_00050_SE_01	0:09:54
FOLK_E_00052_SE_01	0:30:52
FOLK_E_00053_SE_01	0:18:52
FOLK_E_00055_SE_01	2:10:30
FOLK_E_00056_SE_01	0:33:56
FOLK_E_00057_SE_01	0:53:41
FOLK_E_00058_SE_01	0:53:46
FOLK_E_00059_SE_01	0:44:29
FOLK_E_00060_SE_01	0:33:57
FOLK_E_00061_SE_01	0:27:44
FOLK_E_00062_SE_01	0:28:51
FOLK_E_00064_SE_01	5:24:40
FOLK_E_00066_SE_01	2:17:27
FOLK_E_00068_SE_01	5:25:21
FOLK_E_00069_SE_01	5:04:17
FOLK_E_00070_SE_01	5:37:04
FOLK_E_00074_SE_01	0:40:25
FOLK_E_00076_SE_01	0:20:55
FOLK_E_00077_SE_01	0:20:29
FOLK_E_00079_SE_01	0:28:23
FOLK_E_00080_SE_01	0:18:35
FOLK_E_00081_SE_01	0:09:00
FOLK_E_00082_SE_01	0:36:01
FOLK_E_00083_SE_01	0:55:20
FOLK_E_00084_SE_01	1:09:52
FOLK_E_00085_SE_01	0:07:55
FOLK_E_00086_SE_01	0:17:23
FOLK_E_00087_SE_01	0:12:25
FOLK_E_00088_SE_01	0:18:07
FOLK_E_00089_SE_01	0:19:01
FOLK_E_00090_SE_01	0:20:04
FOLK_E_00091_SE_01	0:16:55
FOLK_E_00092_SE_01	0:07:13
FOLK_E_00093_SE_01	0:20:54
FOLK_E_00094_SE_01	0:25:45
FOLK_E_00095_SE_01	0:17:04
FOLK_E_00096_SE_01	0:11:20
FOLK_E_00097_SE_01	0:11:30
FOLK_E_00098_SE_01	0:10:55
FOLK_E_00099_SE_01	0:14:59
FOLK_E_00100_SE_01	0:21:37
FOLK_E_00101_SE_01	0:20:25
FOLK_E_00102_SE_01	0:09:13
FOLK_E_00103_SE_01	0:27:36
FOLK_E_00104_SE_01	0:10:02
FOLK_E_00105_SE_01	0:32:10
FOLK_E_00106_SE_01	0:13:28
FOLK_E_00107_SE_01	0:10:00
FOLK_E_00108_SE_01	0:15:30
FOLK_E_00109_SE_01	0:11:47
FOLK_E_00110_SE_01	0:20:53
FOLK_E_00111_SE_01	0:15:04
FOLK_E_00112_SE_01	0:12:14
FOLK_E_00113_SE_01	0:08:04
FOLK_E_00114_SE_01	0:43:35
FOLK_E_00115_SE_01	0:26:04
FOLK_E_00116_SE_01	0:04:00
FOLK_E_00117_SE_01	0:19:56
FOLK_E_00118_SE_01	0:29:10
FOLK_E_00119_SE_01	0:38:54
FOLK_E_00120_SE_01	0:42:26
FOLK_E_00121_SE_01	1:18:58
FOLK_E_00123_SE_01	0:23:39
FOLK_E_00124_SE_01	0:40:45
FOLK_E_00125_SE_01	1:15:22
FOLK_E_00126_SE_01	1:45:49
FOLK_E_00127_SE_01	0:40:18
FOLK_E_00128_SE_01	1:27:37
FOLK_E_00129_SE_01	0:40:25
FOLK_E_00130_SE_01	0:44:14
FOLK_E_00132_SE_01	5:32:57
FOLK_E_00133_SE_01	0:21:05
FOLK_E_00134_SE_01	0:15:02
FOLK_E_00135_SE_01	0:07:36
FOLK_E_00136_SE_01	0:13:58
FOLK_E_00137_SE_01	0:04:40
