Speech Event	duration
GWSS_E_00001_SE_01	0:20:28
GWSS_E_00002_SE_01	0:33:56
GWSS_E_00003_SE_01	0:33:37
GWSS_E_00004_SE_01	0:14:51
GWSS_E_00005_SE_01	0:18:27
GWSS_E_00006_SE_01	0:47:08
GWSS_E_00007_SE_01	0:53:41
GWSS_E_00008_SE_01	0:30:45
GWSS_E_00009_SE_01	0:28:08
GWSS_E_00010_SE_01	0:31:21
GWSS_E_00011_SE_01	0:29:23
GWSS_E_00012_SE_01	0:29:08
GWSS_E_00013_SE_01	0:30:25
GWSS_E_00014_SE_01	0:30:53
GWSS_E_00015_SE_01	0:53:46
GWSS_E_00016_SE_01	0:44:29
GWSS_E_00017_SE_01	0:33:57
GWSS_E_00018_SE_01	0:27:44
GWSS_E_00019_SE_01	0:28:51
GWSS_E_00020_SE_01	0:39:44
GWSS_E_00021_SE_01	0:44:14
GWSS_E_00022_SE_01	0:42:14
GWSS_E_00023_SE_01	0:46:35
GWSS_E_00024_SE_01	0:42:27
GWSS_E_00025_SE_01	0:47:15
GWSS_E_00026_SE_01	0:46:21
GWSS_E_00027_SE_01	0:44:11
GWSS_E_00028_SE_01	0:38:11
GWSS_E_00029_SE_01	0:39:38
GWSS_E_00030_SE_01	0:46:06
GWSS_E_00031_SE_01	0:46:21
GWSS_E_00032_SE_01	0:37:36
GWSS_E_00033_SE_01	0:40:54
GWSS_E_00034_SE_01	0:38:01
GWSS_E_00035_SE_01	0:17:30
GWSS_E_00036_SE_01	0:19:16
GWSS_E_00037_SE_01	0:00:00
GWSS_E_00038_SE_01	0:00:00
GWSS_E_00039_SE_01	0:00:00
GWSS_E_00040_SE_01	0:26:10
GWSS_E_00041_SE_01	0:25:07
GWSS_E_00042_SE_01	0:19:44
GWSS_E_00043_SE_01	0:00:00
GWSS_E_00044_SE_01	0:00:00
GWSS_E_00045_SE_01	0:00:00
GWSS_E_00046_SE_01	0:00:00
GWSS_E_00047_SE_01	0:17:16
GWSS_E_00048_SE_01	0:00:00
GWSS_E_00049_SE_01	0:00:00
GWSS_E_00050_SE_01	0:14:20
GWSS_E_00051_SE_01	0:40:01
GWSS_E_00052_SE_01	0:22:49
GWSS_E_00053_SE_01	0:17:53
GWSS_E_00054_SE_01	1:15:28
GWSS_E_00055_SE_01	0:30:56
GWSS_E_00056_SE_01	0:32:40
GWSS_E_00057_SE_01	0:23:14
GWSS_E_00058_SE_01	0:42:10
GWSS_E_00059_SE_01	0:29:36
GWSS_E_00060_SE_01	0:48:33
GWSS_E_00061_SE_01	0:45:44
GWSS_E_00062_SE_01	0:21:31
GWSS_E_00063_SE_01	0:23:52
GWSS_E_00064_SE_01	0:30:13
GWSS_E_00065_SE_01	0:20:54
GWSS_E_00066_SE_01	0:20:44
GWSS_E_00067_SE_01	0:13:27
GWSS_E_00069_SE_01	0:14:57
GWSS_E_00070_SE_01	0:16:04
GWSS_E_00071_SE_01	0:24:35
GWSS_E_00072_SE_01	0:14:26
GWSS_E_00073_SE_01	0:18:45
GWSS_E_00074_SE_01	0:22:34
GWSS_E_00075_SE_01	0:28:06
GWSS_E_00076_SE_01	1:01:09
GWSS_E_00077_SE_01	0:19:54
GWSS_E_00078_SE_01	0:20:44
GWSS_E_00079_SE_01	0:21:50
GWSS_E_00080_SE_01	0:53:05
GWSS_E_00081_SE_01	0:52:26
GWSS_E_00082_SE_01	0:32:21
GWSS_E_00083_SE_01	0:18:02
GWSS_E_00084_SE_01	0:30:45
GWSS_E_00085_SE_01	0:05:41
GWSS_E_00086_SE_01	0:04:41
GWSS_E_00087_SE_01	0:07:22
GWSS_E_00088_SE_01	0:06:02
GWSS_E_00089_SE_01	0:08:11
GWSS_E_00090_SE_01	0:07:44
GWSS_E_00091_SE_01	0:07:29
GWSS_E_00092_SE_01	0:05:11
GWSS_E_00093_SE_01	0:05:48
GWSS_E_00094_SE_01	0:06:24
GWSS_E_00095_SE_01	0:06:42
GWSS_E_00096_SE_01	0:04:04
GWSS_E_00097_SE_01	0:05:35
GWSS_E_00098_SE_01	0:06:24
GWSS_E_00099_SE_01	0:04:55
GWSS_E_00100_SE_01	0:06:10
GWSS_E_00101_SE_01	0:09:05
GWSS_E_00102_SE_01	0:08:00
GWSS_E_00103_SE_01	0:04:49
GWSS_E_00104_SE_01	0:06:11
GWSS_E_00105_SE_01	0:04:38
GWSS_E_00106_SE_01	0:08:44
GWSS_E_00107_SE_01	0:07:00
GWSS_E_00108_SE_01	0:03:08
GWSS_E_00109_SE_01	0:05:07
GWSS_E_00110_SE_01	0:04:03
GWSS_E_00111_SE_01	0:05:39
GWSS_E_00112_SE_01	0:02:49
GWSS_E_00113_SE_01	0:06:13
GWSS_E_00114_SE_01	0:04:05
GWSS_E_00115_SE_01	0:07:45
GWSS_E_00116_SE_01	0:05:48
GWSS_E_00117_SE_01	0:03:13
GWSS_E_00118_SE_01	0:07:14
GWSS_E_00119_SE_01	0:04:41
GWSS_E_00120_SE_01	0:05:44
GWSS_E_00121_SE_01	0:03:44
GWSS_E_00122_SE_01	0:06:01
GWSS_E_00123_SE_01	0:02:27
GWSS_E_00124_SE_01	0:04:24
GWSS_E_00125_SE_01	0:06:21
GWSS_E_00126_SE_01	0:04:46
GWSS_E_00127_SE_01	0:05:28
GWSS_E_00128_SE_01	0:03:19
GWSS_E_00129_SE_01	0:05:20
GWSS_E_00130_SE_01	0:04:45
GWSS_E_00131_SE_01	0:02:22
GWSS_E_00132_SE_01	0:02:52
GWSS_E_00133_SE_01	0:03:18
GWSS_E_00134_SE_01	0:04:07
GWSS_E_00135_SE_01	0:05:17
GWSS_E_00136_SE_01	0:05:01
GWSS_E_00137_SE_01	0:03:38
GWSS_E_00138_SE_01	0:03:43
GWSS_E_00139_SE_01	0:04:04
GWSS_E_00140_SE_01	0:02:45
GWSS_E_00141_SE_01	0:04:31
GWSS_E_00142_SE_01	0:02:23
GWSS_E_00143_SE_01	0:06:52
GWSS_E_00144_SE_01	0:22:08
GWSS_E_00145_SE_01	0:29:40
GWSS_E_00146_SE_01	0:32:27
GWSS_E_00147_SE_01	0:23:38
GWSS_E_00148_SE_01	0:38:53
GWSS_E_00149_SE_01	0:28:53
GWSS_E_00150_SE_01	0:27:50
GWSS_E_00151_SE_01	0:26:20
GWSS_E_00152_SE_01	0:26:35
GWSS_E_00153_SE_01	0:32:40
GWSS_E_00154_SE_01	0:21:06
GWSS_E_00155_SE_01	0:26:32
GWSS_E_00156_SE_01	0:26:26
GWSS_E_00157_SE_01	0:35:15
GWSS_E_00158_SE_01	0:27:14
GWSS_E_00159_SE_01	0:22:01
GWSS_E_00160_SE_01	0:29:54
GWSS_E_00161_SE_01	0:29:21
GWSS_E_00162_SE_01	0:26:37
GWSS_E_00163_SE_01	0:50:00
GWSS_E_00164_SE_01	0:37:46
GWSS_E_00165_SE_01	0:34:37
GWSS_E_00166_SE_01	0:26:39
GWSS_E_00167_SE_01	0:17:45
GWSS_E_00168_SE_01	0:22:17
GWSS_E_00169_SE_01	0:14:01
GWSS_E_00170_SE_01	0:09:38
GWSS_E_00171_SE_01	0:21:46
GWSS_E_00172_SE_01	0:07:49
GWSS_E_00173_SE_01	0:07:34
GWSS_E_00174_SE_01	0:07:32
GWSS_E_00175_SE_01	0:33:30
GWSS_E_00176_SE_01	0:23:29
GWSS_E_00177_SE_01	0:33:40
GWSS_E_00178_SE_01	0:16:01
GWSS_E_00179_SE_01	0:19:35
GWSS_E_00180_SE_01	0:16:32
GWSS_E_00181_SE_01	0:16:35
GWSS_E_00182_SE_01	0:18:54
GWSS_E_00183_SE_01	0:13:41
GWSS_E_00184_SE_01	0:20:39
GWSS_E_00185_SE_01	0:20:15
GWSS_E_00186_SE_01	0:12:25
GWSS_E_00187_SE_01	0:17:16
GWSS_E_00188_SE_01	0:28:20
GWSS_E_00189_SE_01	0:23:03
GWSS_E_00190_SE_01	0:24:05
GWSS_E_00191_SE_01	0:21:18
GWSS_E_00192_SE_01	0:25:43
GWSS_E_00193_SE_01	0:23:03
GWSS_E_00194_SE_01	0:20:52
GWSS_E_00195_SE_01	0:18:30
