Speech Event	lemmas	tokens	GOETHE_A1 lemmas	GOETHE_A1 tokens	GOETHE_A1 lemmas ratio	GOETHE_A1 tokens ratio	GOETHE_A2 lemmas	GOETHE_A2 tokens	GOETHE_A2 lemmas ratio	GOETHE_A2 tokens ratio	GOETHE_B1 lemmas	GOETHE_B1 tokens	GOETHE_B1 lemmas ratio	GOETHE_B1 tokens ratio	HERDER_1000 lemmas	HERDER_1000 tokens	HERDER_1000 lemmas ratio	HERDER_1000 tokens ratio	HERDER_2000 lemmas	HERDER_2000 tokens	HERDER_2000 lemmas ratio	HERDER_2000 tokens ratio	HERDER_3000 lemmas	HERDER_3000 tokens	HERDER_3000 lemmas ratio	HERDER_3000 tokens ratio	HERDER_4000 lemmas	HERDER_4000 tokens	HERDER_4000 lemmas ratio	HERDER_4000 tokens ratio	HERDER_5000 lemmas	HERDER_5000 tokens	HERDER_5000 lemmas ratio	HERDER_5000 tokens ratio	
FOLK_E_00001_SE_01	880	6444	251	4681	0.29	0.73	352	5028	0.40	0.78	505	5445	0.57	0.84	373	4930	0.42	0.77	473	5229	0.54	0.81	521	5327	0.59	0.83	548	5378	0.62	0.83	559	5413	0.64	0.84
FOLK_E_00002_SE_01	673	2801	259	1975	0.38	0.71	361	2230	0.54	0.80	457	2359	0.68	0.84	301	2048	0.45	0.73	376	2179	0.56	0.78	422	2267	0.63	0.81	455	2325	0.68	0.83	473	2352	0.70	0.84
FOLK_E_00003_SE_01	601	3749	189	2597	0.31	0.69	257	2924	0.43	0.78	364	3219	0.61	0.86	303	3024	0.50	0.81	353	3109	0.59	0.83	386	3175	0.64	0.85	401	3198	0.67	0.85	416	3230	0.69	0.86
FOLK_E_00004_SE_01	1217	9535	307	6991	0.25	0.73	457	7669	0.38	0.80	702	8322	0.58	0.87	490	7696	0.40	0.81	655	8016	0.54	0.84	740	8192	0.61	0.86	790	8279	0.65	0.87	818	8336	0.67	0.87
FOLK_E_00005_SE_01	837	6322	247	4629	0.30	0.73	339	5095	0.41	0.81	475	5448	0.57	0.86	346	4914	0.41	0.78	438	5197	0.52	0.82	481	5316	0.57	0.84	512	5373	0.61	0.85	528	5413	0.63	0.86
FOLK_E_00006_SE_01	855	5085	253	3661	0.30	0.72	339	3977	0.40	0.78	495	4312	0.58	0.85	373	3926	0.44	0.77	456	4123	0.53	0.81	500	4210	0.58	0.83	528	4255	0.62	0.84	546	4281	0.64	0.84
FOLK_E_00007_SE_01	1155	9190	281	6664	0.24	0.73	410	7339	0.35	0.80	629	7962	0.54	0.87	423	7195	0.37	0.78	558	7520	0.48	0.82	639	7683	0.55	0.84	685	7799	0.59	0.85	715	7841	0.62	0.85
FOLK_E_00008_SE_01	959	5759	257	4144	0.27	0.72	365	4498	0.38	0.78	521	4845	0.54	0.84	393	4399	0.41	0.76	480	4570	0.50	0.79	531	4671	0.55	0.81	563	4722	0.59	0.82	582	4753	0.61	0.83
FOLK_E_00009_SE_01	758	4529	229	3314	0.30	0.73	317	3561	0.42	0.79	448	3843	0.59	0.85	344	3525	0.45	0.78	419	3674	0.55	0.81	454	3729	0.60	0.82	483	3773	0.64	0.83	503	3811	0.66	0.84
FOLK_E_00010_SE_01	536	4937	212	3713	0.40	0.75	295	4067	0.55	0.82	375	4348	0.70	0.88	276	3889	0.51	0.79	316	4005	0.59	0.81	339	4104	0.63	0.83	354	4161	0.66	0.84	364	4215	0.68	0.85
FOLK_E_00011_SE_01	1156	19568	328	15529	0.28	0.79	472	16640	0.41	0.85	668	17595	0.58	0.90	406	16433	0.35	0.84	518	16828	0.45	0.86	578	17088	0.50	0.87	617	17380	0.53	0.89	641	17421	0.55	0.89
FOLK_E_00012_SE_01	427	4680	189	3811	0.44	0.81	258	4066	0.60	0.87	314	4275	0.74	0.91	239	3933	0.56	0.84	277	4046	0.65	0.86	298	4079	0.70	0.87	309	4102	0.72	0.88	318	4116	0.74	0.88
FOLK_E_00013_SE_01	728	3727	249	2700	0.34	0.72	338	2947	0.46	0.79	443	3209	0.61	0.86	288	2713	0.40	0.73	354	2891	0.49	0.78	395	2983	0.54	0.80	430	3078	0.59	0.83	450	3109	0.62	0.83
FOLK_E_00014_SE_01	543	3300	225	2553	0.41	0.77	320	2836	0.59	0.86	391	2965	0.72	0.90	265	2642	0.49	0.80	322	2793	0.59	0.85	349	2827	0.64	0.86	371	2885	0.68	0.87	382	2901	0.70	0.88
FOLK_E_00015_SE_01	992	7157	250	5150	0.25	0.72	337	5636	0.34	0.79	513	6150	0.52	0.86	402	5733	0.41	0.80	509	5978	0.51	0.84	562	6062	0.57	0.85	595	6115	0.60	0.85	619	6151	0.62	0.86
FOLK_E_00016_SE_01	614	4364	240	3095	0.39	0.71	338	3461	0.55	0.79	427	3697	0.70	0.85	290	3237	0.47	0.74	356	3437	0.58	0.79	394	3532	0.64	0.81	421	3598	0.69	0.82	434	3619	0.71	0.83
FOLK_E_00017_SE_01	384	1505	170	1073	0.44	0.71	235	1249	0.61	0.83	270	1285	0.70	0.85	192	1118	0.50	0.74	223	1184	0.58	0.79	242	1224	0.63	0.81	258	1244	0.67	0.83	273	1271	0.71	0.84
FOLK_E_00018_SE_01	650	3963	284	3114	0.44	0.79	386	3411	0.59	0.86	472	3607	0.73	0.91	332	3256	0.51	0.82	397	3401	0.61	0.86	437	3460	0.67	0.87	460	3523	0.71	0.89	470	3546	0.72	0.89
