Speech Event	lemmas	tokens	GOETHE_A1 lemmas	GOETHE_A1 tokens	GOETHE_A1 lemmas ratio	GOETHE_A1 tokens ratio	GOETHE_A2 lemmas	GOETHE_A2 tokens	GOETHE_A2 lemmas ratio	GOETHE_A2 tokens ratio	GOETHE_B1 lemmas	GOETHE_B1 tokens	GOETHE_B1 lemmas ratio	GOETHE_B1 tokens ratio	HERDER_1000 lemmas	HERDER_1000 tokens	HERDER_1000 lemmas ratio	HERDER_1000 tokens ratio	HERDER_2000 lemmas	HERDER_2000 tokens	HERDER_2000 lemmas ratio	HERDER_2000 tokens ratio	HERDER_3000 lemmas	HERDER_3000 tokens	HERDER_3000 lemmas ratio	HERDER_3000 tokens ratio	HERDER_4000 lemmas	HERDER_4000 tokens	HERDER_4000 lemmas ratio	HERDER_4000 tokens ratio	HERDER_5000 lemmas	HERDER_5000 tokens	HERDER_5000 lemmas ratio	HERDER_5000 tokens ratio	
GWSS_E_00001_SE_01	607	3699	189	2624	0,31	0,71	260	2960	0,43	0,80	364	3255	0,60	0,88	308	3051	0,51	0,82	355	3134	0,58	0,85	389	3202	0,64	0,87	404	3225	0,67	0,87	418	3255	0,69	0,88
GWSS_E_00002_SE_01	946	5091	223	3524	0,24	0,69	322	3862	0,34	0,76	483	4326	0,51	0,85	389	3962	0,41	0,78	472	4102	0,50	0,81	517	4173	0,55	0,82	554	4230	0,59	0,83	580	4283	0,61	0,84
GWSS_E_00003_SE_01	866	3902	177	2585	0,20	0,66	252	2845	0,29	0,73	397	3150	0,46	0,81	328	2947	0,38	0,76	404	3100	0,47	0,79	449	3161	0,52	0,81	482	3204	0,56	0,82	506	3240	0,58	0,83
GWSS_E_00004_SE_01	339	1756	137	1317	0,40	0,75	178	1433	0,53	0,82	234	1556	0,69	0,89	192	1425	0,57	0,81	214	1472	0,63	0,84	230	1491	0,68	0,85	238	1504	0,70	0,86	244	1526	0,72	0,87
GWSS_E_00005_SE_01	440	2211	155	1660	0,35	0,75	204	1785	0,46	0,81	276	1916	0,63	0,87	230	1776	0,52	0,80	262	1830	0,60	0,83	271	1847	0,62	0,84	284	1876	0,65	0,85	290	1896	0,66	0,86
GWSS_E_00006_SE_01	989	7143	240	5210	0,24	0,73	324	5694	0,33	0,80	499	6200	0,50	0,87	394	5784	0,40	0,81	499	6018	0,50	0,84	551	6100	0,56	0,85	584	6155	0,59	0,86	608	6191	0,61	0,87
GWSS_E_00007_SE_01	1269	7935	266	5656	0,21	0,71	388	6168	0,31	0,78	607	6757	0,48	0,85	442	6264	0,35	0,79	583	6551	0,46	0,83	665	6696	0,52	0,84	717	6826	0,57	0,86	747	6870	0,59	0,87
GWSS_E_00008_SE_01	783	4168	191	2898	0,24	0,70	269	3137	0,34	0,75	408	3444	0,52	0,83	339	3204	0,43	0,77	426	3392	0,54	0,81	468	3512	0,60	0,84	498	3557	0,64	0,85	520	3591	0,66	0,86
GWSS_E_00009_SE_01	722	3567	195	2418	0,27	0,68	271	2706	0,38	0,76	401	2994	0,56	0,84	342	2835	0,47	0,79	423	2950	0,59	0,83	467	3036	0,65	0,85	490	3077	0,68	0,86	508	3112	0,70	0,87
GWSS_E_00010_SE_01	799	4564	208	3283	0,26	0,72	278	3527	0,35	0,77	423	3872	0,53	0,85	350	3637	0,44	0,80	439	3815	0,55	0,84	494	3910	0,62	0,86	516	3943	0,65	0,86	536	3973	0,67	0,87
GWSS_E_00011_SE_01	723	3089	184	2029	0,25	0,66	246	2228	0,34	0,72	378	2526	0,52	0,82	309	2364	0,43	0,77	391	2502	0,54	0,81	430	2581	0,59	0,84	462	2624	0,64	0,85	485	2654	0,67	0,86
GWSS_E_00012_SE_01	653	2992	191	2020	0,29	0,68	262	2251	0,40	0,75	386	2554	0,59	0,85	322	2337	0,49	0,78	385	2465	0,59	0,82	420	2526	0,64	0,84	443	2573	0,68	0,86	459	2597	0,70	0,87
GWSS_E_00013_SE_01	756	4251	204	2943	0,27	0,69	276	3193	0,37	0,75	408	3599	0,54	0,85	343	3408	0,45	0,80	421	3590	0,56	0,84	471	3675	0,62	0,86	503	3735	0,67	0,88	519	3765	0,69	0,89
GWSS_E_00014_SE_01	832	4046	214	2813	0,26	0,70	302	3082	0,36	0,76	467	3446	0,56	0,85	376	3149	0,45	0,78	457	3307	0,55	0,82	503	3399	0,60	0,84	533	3436	0,64	0,85	556	3464	0,67	0,86
GWSS_E_00015_SE_01	1292	8836	298	6533	0,23	0,74	431	7233	0,33	0,82	650	7795	0,50	0,88	486	7196	0,38	0,81	611	7468	0,47	0,85	705	7601	0,55	0,86	754	7722	0,58	0,87	796	7775	0,62	0,88
GWSS_E_00016_SE_01	1231	7129	281	5270	0,23	0,74	398	5633	0,32	0,79	608	6106	0,49	0,86	461	5649	0,37	0,79	606	5910	0,49	0,83	689	6047	0,56	0,85	741	6121	0,60	0,86	779	6188	0,63	0,87
GWSS_E_00017_SE_01	895	4745	216	3202	0,24	0,67	304	3510	0,34	0,74	471	3937	0,53	0,83	377	3606	0,42	0,76	483	3891	0,54	0,82	530	3987	0,59	0,84	560	4062	0,63	0,86	587	4098	0,66	0,86
GWSS_E_00018_SE_01	782	4387	214	3166	0,27	0,72	292	3450	0,37	0,79	448	3783	0,57	0,86	343	3486	0,44	0,79	433	3663	0,55	0,83	475	3725	0,61	0,85	506	3775	0,65	0,86	522	3796	0,67	0,87
GWSS_E_00019_SE_01	986	3923	241	2619	0,24	0,67	341	2914	0,35	0,74	496	3222	0,50	0,82	395	2901	0,40	0,74	496	3046	0,50	0,78	551	3144	0,56	0,80	591	3194	0,60	0,81	613	3227	0,62	0,82
GWSS_E_00020_SE_01	1123	5313	245	3520	0,22	0,66	359	3923	0,32	0,74	562	4352	0,50	0,82	407	3895	0,36	0,73	527	4154	0,47	0,78	601	4301	0,54	0,81	651	4382	0,58	0,82	681	4425	0,61	0,83
GWSS_E_00021_SE_01	1238	5454	252	3353	0,20	0,61	350	3649	0,28	0,67	583	4218	0,47	0,77	421	3737	0,34	0,69	585	4075	0,47	0,75	663	4239	0,54	0,78	710	4330	0,57	0,79	740	4372	0,60	0,80
GWSS_E_00022_SE_01	963	6041	250	4275	0,26	0,71	353	4680	0,37	0,77	544	5151	0,56	0,85	406	4703	0,42	0,78	514	4943	0,53	0,82	567	5024	0,59	0,83	608	5123	0,63	0,85	631	5156	0,66	0,85
