Speech Event	lemmas	tokens	lemma_token_ratio
FOLK_E_00001_SE_01	950	6987	0,14	
FOLK_E_00002_SE_01	708	3047	0,23	
FOLK_E_00003_SE_01	625	4012	0,16	
FOLK_E_00004_SE_01	1273	9982	0,13	
FOLK_E_00005_SE_01	910	6829	0,13	
FOLK_E_00006_SE_01	925	5480	0,17	
FOLK_E_00007_SE_01	1201	9644	0,12	
FOLK_E_00008_SE_01	1049	6378	0,16	
FOLK_E_00009_SE_01	824	4967	0,17	
FOLK_E_00010_SE_01	602	5522	0,11	
FOLK_E_00011_SE_01	1312	24379	0,05	
FOLK_E_00012_SE_01	460	5176	0,09	
FOLK_E_00013_SE_01	809	4112	0,20	
FOLK_E_00014_SE_01	583	3541	0,16	
FOLK_E_00015_SE_01	1064	7948	0,13	
FOLK_E_00016_SE_01	647	4561	0,14	
FOLK_E_00017_SE_01	400	1639	0,24	
FOLK_E_00018_SE_01	725	4321	0,17	
FOLK_E_00020_SE_01	733	4349	0,17	
FOLK_E_00021_SE_01	3369	56766	0,06	
FOLK_E_00022_SE_01	1809	19957	0,09	
FOLK_E_00024_SE_01	2359	33583	0,07	
FOLK_E_00026_SE_01	2381	32207	0,07	
FOLK_E_00027_SE_01	741	4933	0,15	
FOLK_E_00028_SE_01	907	4647	0,20	
FOLK_E_00029_SE_01	361	1997	0,18	
FOLK_E_00030_SE_01	1497	10337	0,14	
FOLK_E_00031_SE_01	457	2554	0,18	
FOLK_E_00032_SE_01	739	3973	0,19	
FOLK_E_00033_SE_01	829	5049	0,16	
FOLK_E_00034_SE_01	791	4543	0,17	
FOLK_E_00035_SE_01	858	4461	0,19	
FOLK_E_00036_SE_01	790	4677	0,17	
FOLK_E_00037_SE_01	741	3457	0,21	
FOLK_E_00038_SE_01	662	3331	0,20	
FOLK_E_00039_SE_01	1143	8353	0,14	
FOLK_E_00040_SE_01	1232	8763	0,14	
FOLK_E_00042_SE_01	1479	15892	0,09	
FOLK_E_00043_SE_01	559	2427	0,23	
FOLK_E_00044_SE_01	933	6983	0,13	
FOLK_E_00045_SE_01	783	5842	0,13	
FOLK_E_00046_SE_01	975	7862	0,12	
FOLK_E_00047_SE_01	1093	9029	0,12	
FOLK_E_00048_SE_01	1282	12389	0,10	
FOLK_E_00049_SE_01	969	6404	0,15	
FOLK_E_00050_SE_01	511	2243	0,23	
FOLK_E_00052_SE_01	814	4190	0,19	
FOLK_E_00053_SE_01	633	3262	0,19	
FOLK_E_00055_SE_01	2433	30702	0,08	
FOLK_E_00056_SE_01	977	5945	0,16	
FOLK_E_00057_SE_01	1306	9080	0,14	
FOLK_E_00058_SE_01	1415	9836	0,14	
FOLK_E_00059_SE_01	1321	8089	0,16	
FOLK_E_00060_SE_01	933	5759	0,16	
FOLK_E_00061_SE_01	866	4893	0,18	
FOLK_E_00062_SE_01	1077	4469	0,24	
FOLK_E_00064_SE_01	4473	52001	0,09	
FOLK_E_00066_SE_01	2979	24815	0,12	
FOLK_E_00068_SE_01	4243	51248	0,08	
FOLK_E_00069_SE_01	4302	50817	0,08	
FOLK_E_00070_SE_01	4478	53422	0,08	
FOLK_E_00074_SE_01	832	5975	0,14	
FOLK_E_00076_SE_01	596	2022	0,29	
FOLK_E_00077_SE_01	789	3976	0,20	
FOLK_E_00079_SE_01	781	3984	0,20	
FOLK_E_00080_SE_01	486	2395	0,20	
FOLK_E_00081_SE_01	312	1075	0,29	
FOLK_E_00082_SE_01	995	9390	0,11	
FOLK_E_00083_SE_01	758	5365	0,14	
FOLK_E_00084_SE_01	1415	14731	0,10	
FOLK_E_00085_SE_01	226	692	0,33	
FOLK_E_00086_SE_01	359	2706	0,13	
FOLK_E_00087_SE_01	334	1914	0,17	
FOLK_E_00088_SE_01	602	3080	0,20	
FOLK_E_00089_SE_01	419	3166	0,13	
FOLK_E_00090_SE_01	373	2856	0,13	
FOLK_E_00091_SE_01	389	2912	0,13	
FOLK_E_00092_SE_01	363	1677	0,22	
FOLK_E_00093_SE_01	395	2900	0,14	
FOLK_E_00094_SE_01	368	3061	0,12	
FOLK_E_00095_SE_01	368	2700	0,14	
FOLK_E_00096_SE_01	242	1036	0,23	
FOLK_E_00097_SE_01	310	1731	0,18	
FOLK_E_00098_SE_01	224	1358	0,16	
FOLK_E_00099_SE_01	333	3026	0,11	
FOLK_E_00100_SE_01	428	3213	0,13	
FOLK_E_00101_SE_01	347	3242	0,11	
FOLK_E_00102_SE_01	263	1484	0,18	
FOLK_E_00103_SE_01	395	4353	0,09	
FOLK_E_00104_SE_01	249	1394	0,18	
FOLK_E_00105_SE_01	542	5099	0,11	
FOLK_E_00106_SE_01	300	1908	0,16	
FOLK_E_00107_SE_01	219	1145	0,19	
FOLK_E_00108_SE_01	320	2192	0,15	
FOLK_E_00109_SE_01	271	1542	0,18	
FOLK_E_00110_SE_01	366	3190	0,11	
FOLK_E_00111_SE_01	541	2492	0,22	
FOLK_E_00112_SE_01	521	2048	0,25	
FOLK_E_00113_SE_01	312	1345	0,23	
FOLK_E_00114_SE_01	1133	9281	0,12	
FOLK_E_00115_SE_01	759	3963	0,19	
FOLK_E_00116_SE_01	173	497	0,35	
FOLK_E_00117_SE_01	670	3353	0,20	
FOLK_E_00118_SE_01	930	5185	0,18	
FOLK_E_00119_SE_01	1034	6790	0,15	
FOLK_E_00120_SE_01	769	4860	0,16	
FOLK_E_00121_SE_01	1384	11769	0,12	
FOLK_E_00123_SE_01	541	2419	0,22	
FOLK_E_00124_SE_01	900	5226	0,17	
FOLK_E_00125_SE_01	1375	7677	0,18	
FOLK_E_00126_SE_01	2454	14933	0,16	
FOLK_E_00127_SE_01	784	3414	0,23	
FOLK_E_00128_SE_01	1409	10985	0,13	
FOLK_E_00129_SE_01	1143	8420	0,14	
FOLK_E_00130_SE_01	1050	7132	0,15	
FOLK_E_00132_SE_01	3144	55570	0,06	
FOLK_E_00133_SE_01	709	5277	0,13	
FOLK_E_00134_SE_01	516	2931	0,18	
FOLK_E_00135_SE_01	351	1370	0,26	
FOLK_E_00136_SE_01	459	2175	0,21	
FOLK_E_00137_SE_01	201	596	0,34	
FOLK_E_00138_SE_01	421	2256	0,19	
FOLK_E_00139_SE_01	257	1026	0,25	
FOLK_E_00140_SE_01	450	2368	0,19	
