Speech Event	lemmas	tokens	lemma_token_ratio
GWSS_E_00001_SE_01	635	3999	0,16	
GWSS_E_00002_SE_01	987	5879	0,17	
GWSS_E_00003_SE_01	929	4629	0,20	
GWSS_E_00004_SE_01	355	1982	0,18	
GWSS_E_00005_SE_01	461	2535	0,18	
GWSS_E_00006_SE_01	1066	7951	0,13	
GWSS_E_00007_SE_01	1328	9020	0,15	
GWSS_E_00008_SE_01	804	4531	0,18	
GWSS_E_00009_SE_01	747	3973	0,19	
GWSS_E_00010_SE_01	836	5020	0,17	
GWSS_E_00011_SE_01	759	3424	0,22	
GWSS_E_00012_SE_01	668	3318	0,20	
GWSS_E_00013_SE_01	784	4658	0,17	
GWSS_E_00014_SE_01	864	4434	0,19	
GWSS_E_00015_SE_01	1428	9791	0,15	
GWSS_E_00016_SE_01	1319	8041	0,16	
GWSS_E_00017_SE_01	957	5727	0,17	
GWSS_E_00018_SE_01	860	4866	0,18	
GWSS_E_00019_SE_01	1078	4439	0,24	
GWSS_E_00020_SE_01	1154	5653	0,20	
GWSS_E_00021_SE_01	1314	5863	0,22	
GWSS_E_00022_SE_01	995	6540	0,15	
GWSS_E_00023_SE_01	1227	7509	0,16	
GWSS_E_00024_SE_01	1232	7306	0,17	
GWSS_E_00025_SE_01	1274	6667	0,19	
GWSS_E_00026_SE_01	1246	6052	0,21	
GWSS_E_00027_SE_01	1472	5772	0,26	
GWSS_E_00028_SE_01	1083	6035	0,18	
GWSS_E_00029_SE_01	966	7033	0,14	
GWSS_E_00030_SE_01	1140	6218	0,18	
GWSS_E_00031_SE_01	1360	7087	0,19	
GWSS_E_00032_SE_01	1008	5566	0,18	
GWSS_E_00033_SE_01	1167	6189	0,19	
GWSS_E_00034_SE_01	965	6156	0,16	
GWSS_E_00035_SE_01	640	2984	0,21	
GWSS_E_00036_SE_01	784	2935	0,27	
GWSS_E_00040_SE_01	712	3478	0,20	
GWSS_E_00041_SE_01	822	4277	0,19	
GWSS_E_00042_SE_01	669	2820	0,24	
GWSS_E_00047_SE_01	501	2636	0,19	
GWSS_E_00050_SE_01	409	1940	0,21	
