Speech Event	tokens	content	ratio
FOLK_E_00001_SE_01	6987	3163	0,45	
FOLK_E_00002_SE_01	3047	1526	0,50	
FOLK_E_00003_SE_01	4012	1562	0,39	
FOLK_E_00004_SE_01	9982	4122	0,41	
FOLK_E_00005_SE_01	6829	3048	0,45	
FOLK_E_00006_SE_01	5480	2462	0,45	
FOLK_E_00007_SE_01	9644	3818	0,40	
FOLK_E_00008_SE_01	6378	2856	0,45	
FOLK_E_00009_SE_01	4967	2123	0,43	
FOLK_E_00010_SE_01	5522	2229	0,40	
FOLK_E_00011_SE_01	24379	8579	0,35	
FOLK_E_00012_SE_01	5176	2040	0,39	
FOLK_E_00013_SE_01	4112	1836	0,45	
FOLK_E_00014_SE_01	3541	1559	0,44	
FOLK_E_00015_SE_01	7948	3156	0,40	
FOLK_E_00016_SE_01	4561	2184	0,48	
FOLK_E_00017_SE_01	1639	787	0,48	
FOLK_E_00018_SE_01	4321	1760	0,41	
FOLK_E_00020_SE_01	4349	1652	0,38	
FOLK_E_00021_SE_01	56766	21005	0,37	
FOLK_E_00022_SE_01	19957	7736	0,39	
FOLK_E_00024_SE_01	33583	13014	0,39	
FOLK_E_00026_SE_01	32207	12702	0,39	
FOLK_E_00027_SE_01	4933	1907	0,39	
FOLK_E_00028_SE_01	4647	1849	0,40	
FOLK_E_00029_SE_01	1997	760	0,38	
FOLK_E_00030_SE_01	10337	4300	0,42	
FOLK_E_00031_SE_01	2554	919	0,36	
FOLK_E_00032_SE_01	3973	1614	0,41	
FOLK_E_00033_SE_01	5049	2057	0,41	
FOLK_E_00034_SE_01	4543	1876	0,41	
FOLK_E_00035_SE_01	4461	1806	0,40	
FOLK_E_00036_SE_01	4677	1912	0,41	
FOLK_E_00037_SE_01	3457	1471	0,43	
FOLK_E_00038_SE_01	3331	1369	0,41	
FOLK_E_00039_SE_01	8353	3123	0,37	
FOLK_E_00040_SE_01	8763	3308	0,38	
FOLK_E_00042_SE_01	15892	6030	0,38	
FOLK_E_00043_SE_01	2427	985	0,41	
FOLK_E_00044_SE_01	6983	2675	0,38	
FOLK_E_00045_SE_01	5842	2248	0,38	
FOLK_E_00046_SE_01	7862	3057	0,39	
FOLK_E_00047_SE_01	9029	3548	0,39	
FOLK_E_00048_SE_01	12389	4576	0,37	
FOLK_E_00049_SE_01	6404	2617	0,41	
FOLK_E_00050_SE_01	2243	852	0,38	
FOLK_E_00052_SE_01	4190	1688	0,40	
