Speech Event	tokens	content	ratio
GWSS_E_00001_SE_01	3999	1571	0,39	
GWSS_E_00002_SE_01	5879	2267	0,39	
GWSS_E_00003_SE_01	4629	1868	0,40	
GWSS_E_00004_SE_01	1982	767	0,39	
GWSS_E_00005_SE_01	2535	914	0,36	
GWSS_E_00006_SE_01	7951	3151	0,40	
GWSS_E_00007_SE_01	9020	3575	0,40	
GWSS_E_00008_SE_01	4531	1887	0,42	
GWSS_E_00009_SE_01	3973	1619	0,41	
GWSS_E_00010_SE_01	5020	2069	0,41	
GWSS_E_00011_SE_01	3424	1472	0,43	
GWSS_E_00012_SE_01	3318	1384	0,42	
GWSS_E_00013_SE_01	4658	1938	0,42	
GWSS_E_00014_SE_01	4434	1832	0,41	
GWSS_E_00015_SE_01	9791	3950	0,40	
GWSS_E_00016_SE_01	8041	3274	0,41	
GWSS_E_00017_SE_01	5727	2165	0,38	
GWSS_E_00018_SE_01	4866	1937	0,40	
GWSS_E_00019_SE_01	4439	1886	0,42	
GWSS_E_00020_SE_01	5653	2485	0,44	
GWSS_E_00021_SE_01	5863	2546	0,43	
GWSS_E_00022_SE_01	6540	2380	0,36	
GWSS_E_00023_SE_01	7509	3107	0,41	
GWSS_E_00024_SE_01	7306	2936	0,40	
GWSS_E_00025_SE_01	6667	2886	0,43	
GWSS_E_00026_SE_01	6052	2784	0,46	
GWSS_E_00027_SE_01	5772	2777	0,48	
GWSS_E_00028_SE_01	6035	2625	0,43	
GWSS_E_00029_SE_01	7033	2751	0,39	
GWSS_E_00030_SE_01	6218	2682	0,43	
GWSS_E_00031_SE_01	7087	3031	0,43	
GWSS_E_00032_SE_01	5566	2196	0,39	
GWSS_E_00033_SE_01	6189	2719	0,44	
GWSS_E_00034_SE_01	6156	2392	0,39	
GWSS_E_00035_SE_01	2984	1333	0,45	
GWSS_E_00036_SE_01	2935	1291	0,44	
GWSS_E_00040_SE_01	3478	1482	0,43	
GWSS_E_00041_SE_01	4277	1849	0,43	
GWSS_E_00042_SE_01	2820	1210	0,43	
GWSS_E_00047_SE_01	2636	1102	0,42	
GWSS_E_00050_SE_01	1940	805	0,41	
GWSS_E_00051_SE_01	5357	2277	0,43	
GWSS_E_00052_SE_01	3847	1636	0,43	
GWSS_E_00053_SE_01	2780	1191	0,43	
GWSS_E_00054_SE_01	10974	4605	0,42	
GWSS_E_00055_SE_01	3572	1638	0,46	
GWSS_E_00056_SE_01	5689	2397	0,42	
GWSS_E_00057_SE_01	3530	1468	0,42	
GWSS_E_00058_SE_01	6872	2782	0,40	
GWSS_E_00059_SE_01	4561	1883	0,41	
GWSS_E_00060_SE_01	6739	2765	0,41	
GWSS_E_00061_SE_01	6249	2576	0,41	
GWSS_E_00062_SE_01	3084	1257	0,41	
GWSS_E_00063_SE_01	3491	1404	0,40	
GWSS_E_00064_SE_01	4135	1682	0,41	
GWSS_E_00065_SE_01	4057	1412	0,35	
GWSS_E_00066_SE_01	3333	1221	0,37	
GWSS_E_00067_SE_01	2539	995	0,39	
GWSS_E_00069_SE_01	1788	699	0,39	
GWSS_E_00070_SE_01	2289	872	0,38	
GWSS_E_00071_SE_01	2659	984	0,37	
GWSS_E_00072_SE_01	1642	610	0,37	
GWSS_E_00073_SE_01	2383	831	0,35	
GWSS_E_00074_SE_01	2454	923	0,38	
GWSS_E_00075_SE_01	4199	1676	0,40	
GWSS_E_00076_SE_01	8952	3547	0,40	
GWSS_E_00077_SE_01	3472	1380	0,40	
GWSS_E_00078_SE_01	3455	1315	0,38	
GWSS_E_00079_SE_01	3322	1282	0,39	
GWSS_E_00080_SE_01	7814	3179	0,41	
GWSS_E_00081_SE_01	7733	2962	0,38	
GWSS_E_00082_SE_01	5101	1926	0,38	
GWSS_E_00083_SE_01	2594	987	0,38	
GWSS_E_00084_SE_01	4633	1846	0,40	
GWSS_E_00085_SE_01	586	232	0,40	
GWSS_E_00086_SE_01	374	124	0,33	
GWSS_E_00087_SE_01	788	310	0,39	
GWSS_E_00088_SE_01	676	217	0,32	
GWSS_E_00089_SE_01	909	334	0,37	
GWSS_E_00090_SE_01	1080	370	0,34	
GWSS_E_00091_SE_01	880	272	0,31	
GWSS_E_00092_SE_01	435	166	0,38	
GWSS_E_00093_SE_01	619	213	0,34	
GWSS_E_00094_SE_01	708	275	0,39	
GWSS_E_00095_SE_01	905	287	0,32	
GWSS_E_00096_SE_01	443	159	0,36	
GWSS_E_00097_SE_01	756	286	0,38	
GWSS_E_00098_SE_01	890	339	0,38	
GWSS_E_00099_SE_01	614	212	0,35	
GWSS_E_00100_SE_01	687	209	0,30	
GWSS_E_00101_SE_01	1130	486	0,43	
GWSS_E_00102_SE_01	887	333	0,38	
GWSS_E_00103_SE_01	618	246	0,40	
GWSS_E_00104_SE_01	616	213	0,35	
GWSS_E_00105_SE_01	440	162	0,37	
GWSS_E_00106_SE_01	878	345	0,39	
GWSS_E_00107_SE_01	1148	382	0,33	
GWSS_E_00108_SE_01	444	186	0,42	
GWSS_E_00109_SE_01	529	199	0,38	
GWSS_E_00110_SE_01	565	204	0,36	
GWSS_E_00111_SE_01	666	218	0,33	
GWSS_E_00112_SE_01	388	138	0,36	
GWSS_E_00113_SE_01	691	260	0,38	
GWSS_E_00114_SE_01	496	196	0,40	
GWSS_E_00115_SE_01	928	337	0,36	
GWSS_E_00116_SE_01	508	179	0,35	
GWSS_E_00117_SE_01	268	105	0,39	
GWSS_E_00118_SE_01	707	253	0,36	
GWSS_E_00119_SE_01	563	178	0,32	
GWSS_E_00120_SE_01	960	335	0,35	
GWSS_E_00121_SE_01	465	161	0,35	
GWSS_E_00122_SE_01	642	226	0,35	
GWSS_E_00123_SE_01	301	98	0,33	
GWSS_E_00124_SE_01	530	183	0,35	
GWSS_E_00125_SE_01	676	245	0,36	
GWSS_E_00126_SE_01	767	256	0,33	
GWSS_E_00127_SE_01	632	215	0,34	
GWSS_E_00128_SE_01	216	92	0,43	
GWSS_E_00129_SE_01	676	262	0,39	
GWSS_E_00130_SE_01	658	210	0,32	
GWSS_E_00131_SE_01	362	136	0,38	
GWSS_E_00132_SE_01	424	133	0,31	
GWSS_E_00133_SE_01	426	147	0,35	
GWSS_E_00134_SE_01	468	182	0,39	
GWSS_E_00135_SE_01	566	205	0,36	
GWSS_E_00136_SE_01	785	243	0,31	
GWSS_E_00137_SE_01	478	172	0,36	
GWSS_E_00138_SE_01	506	155	0,31	
GWSS_E_00139_SE_01	618	199	0,32	
GWSS_E_00140_SE_01	278	97	0,35	
GWSS_E_00141_SE_01	537	163	0,30	
GWSS_E_00142_SE_01	431	163	0,38	
GWSS_E_00143_SE_01	906	327	0,36	
