Speech Event	T>10	Av. T	NN>10	Av. NN	ADJ>10	Av. ADJ
FOLK_E_00001_SE_01	425	4,92	262	8,10	75	7,92	
FOLK_E_00002_SE_01	81	4,59	53	6,11	10	6,18	
FOLK_E_00003_SE_01	232	4,75	101	8,22	56	8,81	
FOLK_E_00004_SE_01	543	4,81	323	8,52	83	7,76	
FOLK_E_00005_SE_01	352	4,85	226	7,82	48	7,38	
FOLK_E_00006_SE_01	353	4,91	206	8,02	68	8,35	
FOLK_E_00007_SE_01	515	4,71	278	8,44	85	8,23	
FOLK_E_00008_SE_01	385	4,86	251	8,32	52	7,55	
FOLK_E_00009_SE_01	260	4,74	143	7,65	49	7,89	
FOLK_E_00010_SE_01	96	4,18	53	6,08	4	5,60	
FOLK_E_00011_SE_01	928	4,36	348	6,72	27	6,02	
FOLK_E_00012_SE_01	53	3,97	10	5,08	2	5,55	
FOLK_E_00013_SE_01	94	4,22	67	6,30	14	6,52	
FOLK_E_00014_SE_01	81	4,29	57	6,18	5	6,13	
FOLK_E_00015_SE_01	451	4,72	249	8,39	91	8,20	
FOLK_E_00016_SE_01	88	4,51	44	5,71	3	6,14	
FOLK_E_00017_SE_01	36	4,44	26	5,88	2	5,94	
FOLK_E_00018_SE_01	125	4,27	66	6,68	12	6,24	
FOLK_E_00020_SE_01	99	4,23	57	6,86	9	6,17	
FOLK_E_00021_SE_01	1443	4,39	587	6,75	131	6,35	
FOLK_E_00022_SE_01	480	4,29	197	6,71	56	6,49	
FOLK_E_00024_SE_01	846	4,31	431	6,95	90	6,55	
FOLK_E_00026_SE_01	881	4,36	379	6,87	106	6,74	
FOLK_E_00027_SE_01	171	4,46	104	7,73	25	6,88	
FOLK_E_00028_SE_01	402	5,00	205	9,50	115	10,29	
FOLK_E_00029_SE_01	61	4,36	29	7,67	22	8,65	
FOLK_E_00030_SE_01	352	4,30	182	6,50	39	6,30	
FOLK_E_00031_SE_01	114	4,39	71	8,62	28	7,97	
FOLK_E_00032_SE_01	344	5,22	183	9,55	111	10,20	
FOLK_E_00033_SE_01	363	5,02	207	8,95	96	9,41	
FOLK_E_00034_SE_01	387	5,18	177	9,05	130	10,67	
FOLK_E_00035_SE_01	341	5,10	176	9,06	99	9,47	
FOLK_E_00036_SE_01	385	5,15	153	8,52	105	9,91	
FOLK_E_00037_SE_01	374	5,36	207	9,63	89	9,42	
FOLK_E_00038_SE_01	305	5,19	157	9,52	78	9,64	
FOLK_E_00039_SE_01	179	4,23	95	6,83	19	6,24	
FOLK_E_00040_SE_01	235	4,41	73	6,18	25	6,47	
FOLK_E_00042_SE_01	434	4,31	205	6,92	74	7,14	
FOLK_E_00043_SE_01	75	4,45	38	7,06	14	6,83	
FOLK_E_00044_SE_01	277	4,50	117	7,09	37	7,67	
FOLK_E_00045_SE_01	133	4,24	43	6,35	7	5,84	
FOLK_E_00046_SE_01	232	4,39	110	6,95	25	6,69	
FOLK_E_00047_SE_01	243	4,35	131	7,09	41	6,60	
FOLK_E_00048_SE_01	279	4,15	116	6,61	38	6,28	
FOLK_E_00049_SE_01	181	4,29	100	6,97	22	6,57	
FOLK_E_00050_SE_01	68	4,32	38	7,08	16	6,87	
FOLK_E_00052_SE_01	116	4,34	62	7,03	15	6,41	
FOLK_E_00053_SE_01	85	4,27	23	6,31	15	6,65	
FOLK_E_00055_SE_01	708	4,23	325	6,82	113	6,64	
FOLK_E_00056_SE_01	460	4,81	227	9,21	143	9,52	
FOLK_E_00057_SE_01	646	4,81	317	9,21	196	9,54	
FOLK_E_00058_SE_01	559	4,71	247	8,07	112	8,38	
FOLK_E_00059_SE_01	556	4,73	291	8,41	132	8,73	
FOLK_E_00060_SE_01	353	4,72	191	8,64	86	8,94	
FOLK_E_00061_SE_01	293	4,79	166	8,13	62	8,60	
FOLK_E_00062_SE_01	332	5,07	168	8,56	70	8,95	
FOLK_E_00064_SE_01	4115	5,14	2439	8,65	675	8,37	
FOLK_E_00066_SE_01	825	4,38	426	6,97	123	6,75	
FOLK_E_00068_SE_01	3952	5,12	2192	8,32	700	8,38	
FOLK_E_00069_SE_01	3789	5,04	2222	8,58	582	8,16	
FOLK_E_00070_SE_01	4433	5,16	2431	8,73	811	8,59	
FOLK_E_00074_SE_01	217	4,36	111	7,88	42	7,69	
FOLK_E_00076_SE_01	81	4,73	30	6,58	15	6,74	
FOLK_E_00077_SE_01	117	4,35	46	6,52	26	7,06	
FOLK_E_00079_SE_01	117	4,36	51	6,87	22	6,75	
FOLK_E_00080_SE_01	63	4,35	27	7,21	14	6,94	
FOLK_E_00081_SE_01	38	4,35	17	7,69	5	6,43	
FOLK_E_00082_SE_01	283	4,37	129	7,35	26	6,87	
FOLK_E_00083_SE_01	161	4,69	88	7,45	20	7,08	
FOLK_E_00084_SE_01	305	4,24	128	6,72	48	6,25	
FOLK_E_00085_SE_01	20	4,35	7	6,91	1	6,00	
FOLK_E_00086_SE_01	51	4,36	27	6,86	6	6,26	
FOLK_E_00087_SE_01	33	4,11	11	6,37	6	6,43	
FOLK_E_00088_SE_01	147	4,53	74	7,78	18	7,31	
FOLK_E_00089_SE_01	66	4,30	38	7,20	1	5,71	
FOLK_E_00090_SE_01	49	4,22	32	6,99	5	6,47	
FOLK_E_00091_SE_01	54	4,47	34	7,28	4	6,70	
FOLK_E_00092_SE_01	47	4,18	17	7,18	7	6,73	
FOLK_E_00093_SE_01	70	4,42	41	7,24	17	7,22	
FOLK_E_00094_SE_01	60	4,34	40	7,34	9	7,00	
FOLK_E_00095_SE_01	36	4,36	14	6,88	6	6,50	
FOLK_E_00096_SE_01	13	4,54	7	7,32	2	6,96	
FOLK_E_00097_SE_01	35	4,20	18	6,49	5	6,95	
FOLK_E_00098_SE_01	23	4,27	17	6,59	0	6,92	
FOLK_E_00099_SE_01	29	4,05	17	6,04	1	5,60	
FOLK_E_00100_SE_01	90	4,33	46	7,31	20	6,64	
FOLK_E_00101_SE_01	57	4,25	44	7,06	1	5,87	
FOLK_E_00102_SE_01	7	4,30	2	6,42	1	7,00	
FOLK_E_00103_SE_01	52	4,17	26	7,34	6	6,16	
FOLK_E_00104_SE_01	15	4,18	7	6,64	2	5,86	
FOLK_E_00105_SE_01	92	4,25	56	6,59	7	6,47	
FOLK_E_00106_SE_01	20	4,21	11	6,39	5	6,46	
FOLK_E_00107_SE_01	5	4,04	3	6,28	1	6,00	
FOLK_E_00108_SE_01	32	4,24	14	6,72	11	7,45	
FOLK_E_00109_SE_01	23	4,20	7	6,18	1	6,48	
FOLK_E_00110_SE_01	82	4,30	46	7,04	16	6,85	
FOLK_E_00111_SE_01	111	4,65	40	7,24	29	7,69	
FOLK_E_00112_SE_01	61	4,45	34	6,67	5	6,24	
FOLK_E_00113_SE_01	42	4,47	14	6,02	6	6,72	
FOLK_E_00114_SE_01	233	4,33	120	6,45	29	6,74	
FOLK_E_00115_SE_01	149	4,46	58	6,86	35	7,25	
FOLK_E_00116_SE_01	13	4,50	5	6,06	3	7,07	
FOLK_E_00117_SE_01	111	4,52	51	6,80	22	7,34	
FOLK_E_00118_SE_01	194	4,48	94	7,26	31	7,22	
FOLK_E_00119_SE_01	172	4,31	88	6,98	19	6,28	
FOLK_E_00120_SE_01	176	4,57	63	7,07	35	7,55	
FOLK_E_00121_SE_01	510	4,66	247	7,56	103	7,75	
FOLK_E_00123_SE_01	286	5,52	206	10,57	28	8,96	
FOLK_E_00124_SE_01	270	4,76	108	6,93	80	7,68	
FOLK_E_00125_SE_01	590	5,01	308	8,11	123	8,48	
FOLK_E_00126_SE_01	1596	5,63	949	9,22	309	9,14	
FOLK_E_00127_SE_01	165	4,66	74	7,11	36	7,85	
FOLK_E_00128_SE_01	863	5,00	491	8,56	76	7,71	
FOLK_E_00129_SE_01	261	4,23	144	7,36	46	7,21	
FOLK_E_00130_SE_01	359	4,63	195	8,15	67	8,37	
FOLK_E_00132_SE_01	1665	4,42	736	7,17	326	6,96	
FOLK_E_00133_SE_01	55	4,12	21	6,05	1	5,36	
FOLK_E_00134_SE_01	124	4,49	70	7,94	10	6,67	
FOLK_E_00135_SE_01	63	4,64	33	7,69	1	5,68	
FOLK_E_00136_SE_01	47	4,33	17	6,55	4	6,35	
FOLK_E_00137_SE_01	18	4,40	3	6,31	1	6,29	
FOLK_E_00138_SE_01	72	4,40	26	6,97	3	6,13	
FOLK_E_00139_SE_01	31	4,26	16	6,68	2	6,70	
FOLK_E_00140_SE_01	52	4,29	12	6,32	9	6,78	
FOLK_E_00141_SE_01	26	4,37	6	6,68	2	6,24	
FOLK_E_00142_SE_01	49	4,51	18	7,19	4	5,70	
FOLK_E_00143_SE_01	615	4,09	297	6,59	56	6,29	
FOLK_E_00144_SE_01	271	4,60	124	8,39	34	6,95	
FOLK_E_00146_SE_01	217	4,63	103	7,39	34	6,97	
FOLK_E_00147_SE_01	396	4,21	183	6,87	33	6,47	
FOLK_E_00148_SE_01	384	4,28	191	7,92	57	7,58	
FOLK_E_00150_SE_01	122	4,76	78	8,77	17	7,46	
FOLK_E_00151_SE_01	24	4,20	7	6,49	2	5,85	
FOLK_E_00152_SE_01	285	4,31	137	6,64	33	7,01	
FOLK_E_00153_SE_01	1	4,10	0	5,86	0	4,00	
FOLK_E_00154_SE_01	0	4,09	0	5,67	0	4,00	
FOLK_E_00155_SE_01	2	4,23	1	7,14	0	4,00	
FOLK_E_00156_SE_01	42	4,36	19	7,14	7	7,61	
FOLK_E_00157_SE_01	119	4,16	86	6,32	2	6,02	
FOLK_E_00158_SE_01	15	4,74	6	6,75	3	9,10	
FOLK_E_00159_SE_01	1	4,10	0	4,50	1	8,00	
FOLK_E_00160_SE_01	181	4,35	99	7,40	13	6,91	
FOLK_E_00161_SE_01	468	4,19	255	6,66	51	6,34	
FOLK_E_00162_SE_01	472	4,74	273	7,05	62	6,98	
FOLK_E_00163_SE_01	337	4,91	200	8,67	55	8,32	
FOLK_E_00165_SE_01	365	4,50	191	6,86	64	6,91	
FOLK_E_00166_SE_01	310	4,75	144	7,64	69	7,85	
FOLK_E_00167_SE_01	129	4,44	69	6,94	15	6,82	
FOLK_E_00168_SE_01	192	4,49	96	7,11	24	6,86	
FOLK_E_00169_SE_01	157	4,40	78	7,33	16	6,72	
FOLK_E_00171_SE_01	165	4,56	78	6,91	24	6,97	
FOLK_E_00172_SE_01	100	4,52	58	6,96	16	6,75	
FOLK_E_00173_SE_01	757	4,54	422	7,86	131	7,39	
FOLK_E_00174_SE_01	946	4,73	564	8,55	141	7,83	
FOLK_E_00175_SE_01	150	4,12	100	6,99	4	5,53	
FOLK_E_00176_SE_01	214	4,28	115	7,24	38	7,68	
FOLK_E_00177_SE_01	216	4,38	114	7,45	22	7,27	
FOLK_E_00178_SE_01	304	4,34	169	8,12	55	7,84	
FOLK_E_00179_SE_01	326	4,39	179	7,96	55	7,73	
FOLK_E_00180_SE_01	197	4,49	101	7,81	43	8,54	
FOLK_E_00181_SE_01	358	4,40	196	8,12	55	7,44	
FOLK_E_00182_SE_01	331	4,33	135	7,20	79	7,89	
FOLK_E_00183_SE_01	196	4,18	108	7,91	31	7,49	
FOLK_E_00184_SE_01	289	4,21	140	7,68	57	8,15	
FOLK_E_00185_SE_01	242	4,36	147	7,83	36	7,44	
FOLK_E_00186_SE_01	290	4,57	179	8,09	50	8,06	
FOLK_E_00187_SE_01	337	4,34	196	7,67	57	7,52	
FOLK_E_00188_SE_01	18	4,00	10	6,24	1	5,97	
FOLK_E_00189_SE_01	89	4,35	45	6,94	24	7,34	
FOLK_E_00190_SE_01	217	4,75	133	8,97	27	7,82	
FOLK_E_00191_SE_01	480	4,56	252	7,56	74	7,37	
FOLK_E_00193_SE_01	191	4,24	80	6,46	38	7,04	
FOLK_E_00194_SE_01	116	4,41	46	7,21	15	6,69	
FOLK_E_00197_SE_01	106	4,33	60	7,25	21	6,94	
FOLK_E_00198_SE_01	81	4,53	32	7,46	23	7,48	
