Speech Event	T>10	Av. T	NN>10	Av. NN	ADJ>10	Av. ADJ
GWSS_E_00001_SE_01	224	4,72	83	7,98	63	8,73	
GWSS_E_00002_SE_01	444	4,73	199	8,85	157	9,55	
GWSS_E_00003_SE_01	387	4,92	163	9,10	129	10,13	
GWSS_E_00004_SE_01	61	4,36	27	7,54	24	8,51	
GWSS_E_00005_SE_01	108	4,33	56	8,24	35	8,23	
GWSS_E_00006_SE_01	424	4,67	207	8,01	102	8,20	
GWSS_E_00007_SE_01	597	4,76	246	8,48	215	9,51	
GWSS_E_00008_SE_01	379	5,14	164	8,82	142	10,50	
GWSS_E_00009_SE_01	330	5,15	162	9,26	121	10,20	
GWSS_E_00010_SE_01	350	4,99	188	8,70	103	9,37	
GWSS_E_00011_SE_01	363	5,35	174	9,28	100	9,76	
GWSS_E_00012_SE_01	294	5,12	149	9,40	77	9,50	
GWSS_E_00013_SE_01	375	5,12	138	8,16	108	9,79	
GWSS_E_00014_SE_01	333	5,07	160	8,76	106	9,42	
GWSS_E_00015_SE_01	548	4,70	203	7,83	141	8,49	
GWSS_E_00016_SE_01	534	4,70	237	8,13	165	8,89	
GWSS_E_00017_SE_01	347	4,61	173	8,47	96	8,90	
GWSS_E_00018_SE_01	283	4,78	140	7,93	75	8,73	
GWSS_E_00019_SE_01	324	5,02	146	8,25	80	8,93	
GWSS_E_00020_SE_01	627	5,48	312	9,26	177	9,73	
GWSS_E_00021_SE_01	627	5,54	303	8,82	188	9,83	
GWSS_E_00022_SE_01	464	4,91	226	8,95	90	8,86	
GWSS_E_00023_SE_01	776	5,28	415	9,11	192	9,94	
GWSS_E_00024_SE_01	536	5,01	325	9,45	123	9,03	
GWSS_E_00025_SE_01	584	5,25	323	9,10	125	8,91	
GWSS_E_00026_SE_01	746	5,67	450	10,41	180	9,92	
GWSS_E_00027_SE_01	660	5,60	384	9,16	173	9,88	
GWSS_E_00028_SE_01	587	5,38	298	9,11	170	9,83	
GWSS_E_00029_SE_01	466	4,88	237	9,02	98	9,04	
GWSS_E_00030_SE_01	654	5,41	362	9,91	176	10,07	
GWSS_E_00031_SE_01	734	5,32	402	9,64	207	10,12	
GWSS_E_00032_SE_01	373	4,92	183	8,85	97	8,92	
GWSS_E_00033_SE_01	439	5,06	177	7,90	137	9,20	
GWSS_E_00034_SE_01	406	4,91	183	8,60	98	9,02	
GWSS_E_00035_SE_01	243	5,18	151	9,48	43	8,34	
GWSS_E_00036_SE_01	272	5,31	135	9,28	93	9,58	
GWSS_E_00040_SE_01	236	5,11	136	8,92	53	8,41	
GWSS_E_00041_SE_01	281	5,04	134	8,04	78	9,02	
GWSS_E_00042_SE_01	256	5,27	152	9,63	37	8,65	
GWSS_E_00047_SE_01	103	4,73	45	7,57	20	7,36	
GWSS_E_00050_SE_01	205	5,29	125	9,77	40	8,37	
GWSS_E_00051_SE_01	380	5,10	189	8,57	87	8,94	
GWSS_E_00052_SE_01	315	5,04	154	8,52	83	8,81	
GWSS_E_00053_SE_01	207	4,96	108	9,02	47	8,35	
GWSS_E_00054_SE_01	830	5,01	432	8,91	204	8,86	
GWSS_E_00055_SE_01	330	5,34	172	8,57	94	9,66	
GWSS_E_00056_SE_01	392	5,03	217	8,56	65	8,56	
