Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
FOLK_E_00001_SE_01	23,11	19,09	1,00	0,14	0,00	0,00	1,29	1,58	
FOLK_E_00002_SE_01	2,97	1,32	1,65	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00003_SE_01	13,73	5,99	1,75	0,50	0,00	0,00	3,74	1,75	
FOLK_E_00004_SE_01	11,43	6,47	0,61	1,52	0,30	0,00	1,62	0,91	
FOLK_E_00005_SE_01	20,23	15,36	1,77	0,30	0,00	0,00	0,15	2,66	
FOLK_E_00006_SE_01	22,00	16,50	0,18	0,18	0,00	0,37	2,20	2,57	
FOLK_E_00007_SE_01	18,01	12,29	0,10	0,73	0,00	0,00	1,25	3,64	
FOLK_E_00008_SE_01	18,90	15,28	0,63	0,94	0,00	0,00	0,63	1,42	
FOLK_E_00009_SE_01	21,48	15,81	0,81	0,20	0,00	0,20	1,42	3,04	
FOLK_E_00010_SE_01	0,73	0,73	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00011_SE_01	0,87	0,54	0,04	0,04	0,04	0,08	0,00	0,12	
FOLK_E_00012_SE_01	1,17	0,97	0,00	0,19	0,00	0,00	0,00	0,00	
FOLK_E_00013_SE_01	2,19	0,97	0,00	0,00	0,49	0,00	0,00	0,73	
FOLK_E_00014_SE_01	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00015_SE_01	16,11	6,80	0,00	0,88	0,50	0,00	6,42	1,51	
FOLK_E_00016_SE_01	1,98	1,54	0,00	0,00	0,00	0,00	0,00	0,44	
FOLK_E_00017_SE_01	2,45	2,45	0,00	0,00	0,00	0,00	0,00	0,00	
FOLK_E_00018_SE_01	8,15	6,05	0,00	0,23	0,00	0,00	1,63	0,23	
FOLK_E_00020_SE_01	3,26	2,57	0,00	0,00	0,00	0,23	0,23	0,23	
FOLK_E_00021_SE_01	3,69	1,40	0,32	0,07	0,64	0,02	0,92	0,32	
FOLK_E_00022_SE_01	4,44	2,27	0,50	0,40	0,10	0,05	0,50	0,61	
FOLK_E_00024_SE_01	5,30	2,78	0,27	0,18	0,00	0,03	0,99	1,05	
FOLK_E_00026_SE_01	5,34	2,88	0,19	0,22	0,06	0,06	0,81	1,13	
FOLK_E_00027_SE_01	5,72	2,86	0,00	0,00	1,63	0,20	0,61	0,41	
FOLK_E_00028_SE_01	20,90	10,34	0,43	0,65	2,15	0,43	6,03	0,86	
FOLK_E_00029_SE_01	11,04	6,02	1,00	0,00	0,00	0,00	4,01	0,00	
FOLK_E_00030_SE_01	5,06	2,53	0,00	0,29	0,19	0,10	1,07	0,88	
FOLK_E_00031_SE_01	10,22	4,72	0,00	0,39	0,00	0,00	3,93	1,18	
FOLK_E_00032_SE_01	18,14	8,57	1,76	1,26	0,25	0,00	4,28	2,02	
FOLK_E_00033_SE_01	24,02	11,71	1,79	2,78	0,79	0,99	2,38	3,57	
FOLK_E_00034_SE_01	21,17	10,59	0,22	1,32	0,00	0,00	5,96	3,09	
FOLK_E_00035_SE_01	18,41	10,33	0,22	0,90	0,00	0,22	5,84	0,90	
FOLK_E_00036_SE_01	27,00	14,36	1,07	1,29	0,00	1,07	4,50	4,71	
FOLK_E_00037_SE_01	36,17	14,18	1,45	4,92	0,00	0,29	11,57	3,76	
FOLK_E_00038_SE_01	28,87	6,32	2,41	7,82	1,20	0,00	8,12	3,01	
FOLK_E_00039_SE_01	5,33	4,24	0,36	0,24	0,00	0,12	0,24	0,12	
FOLK_E_00040_SE_01	4,03	2,76	0,35	0,00	0,12	0,00	0,12	0,69	
FOLK_E_00042_SE_01	8,17	2,72	0,25	0,51	0,51	0,76	1,77	1,65	
FOLK_E_00043_SE_01	5,41	2,91	0,00	0,42	0,42	0,42	0,83	0,42	
FOLK_E_00044_SE_01	10,68	4,76	0,14	0,00	0,00	0,58	2,31	2,89	
FOLK_E_00045_SE_01	4,48	2,93	0,17	0,00	0,00	0,00	1,21	0,17	
FOLK_E_00046_SE_01	6,25	3,96	0,00	0,00	0,51	0,00	0,64	1,15	
FOLK_E_00047_SE_01	4,23	2,12	0,00	0,11	0,00	0,11	0,56	1,34	
FOLK_E_00048_SE_01	3,66	1,95	0,08	0,16	0,00	0,08	0,41	0,98	
FOLK_E_00049_SE_01	4,56	3,62	0,16	0,31	0,31	0,16	0,00	0,00	
FOLK_E_00050_SE_01	5,37	3,58	0,00	0,00	0,45	0,00	0,89	0,45	
FOLK_E_00052_SE_01	2,88	1,68	0,00	0,00	0,00	0,00	0,00	1,20	
FOLK_E_00053_SE_01	2,16	1,23	0,00	0,00	0,00	0,31	0,00	0,62	
FOLK_E_00055_SE_01	6,43	4,15	0,29	0,13	0,03	0,10	0,52	1,21	
FOLK_E_00056_SE_01	13,98	9,77	0,34	0,51	0,17	0,00	0,84	2,36	
FOLK_E_00057_SE_01	20,50	8,49	0,00	3,09	0,33	1,32	5,07	2,20	
FOLK_E_00058_SE_01	11,10	4,48	0,61	1,02	0,31	0,61	2,95	1,12	
FOLK_E_00059_SE_01	11,52	5,95	0,99	0,74	0,12	0,50	1,61	1,61	
FOLK_E_00060_SE_01	20,51	9,56	1,04	1,74	1,56	0,87	4,52	1,22	
FOLK_E_00061_SE_01	13,91	7,78	0,41	3,27	0,00	0,20	1,02	1,23	
FOLK_E_00062_SE_01	24,42	10,53	0,45	1,12	0,67	2,46	7,17	2,02	
FOLK_E_00064_SE_01	17,64	10,53	0,37	1,66	0,10	0,29	2,60	2,10	
FOLK_E_00066_SE_01	5,71	3,40	0,12	0,12	0,45	0,04	0,93	0,65	
FOLK_E_00068_SE_01	17,71	10,47	0,49	1,89	0,22	0,59	1,73	2,32	
FOLK_E_00069_SE_01	14,60	8,12	1,38	1,24	0,06	0,20	1,66	1,94	
FOLK_E_00070_SE_01	20,69	12,91	0,60	1,05	0,34	0,23	3,50	2,07	
FOLK_E_00074_SE_01	4,20	2,35	0,00	0,00	0,17	0,00	1,18	0,50	
