Speech Event	all‰	ung‰	heit‰	keit‰	schaft‰	tät‰	ion‰	ieren‰
GWSS_E_00001_SE_01	13,08	5,79	1,76	0,50	0,00	0,00	3,27	1,76	
GWSS_E_00002_SE_01	14,14	9,88	0,34	0,34	0,17	0,00	1,02	2,39	
GWSS_E_00003_SE_01	19,50	10,18	0,22	0,65	2,17	0,43	4,98	0,87	
GWSS_E_00004_SE_01	10,70	5,60	1,02	0,00	0,00	0,00	4,08	0,00	
GWSS_E_00005_SE_01	10,35	4,38	0,00	0,40	0,00	0,00	4,38	1,19	
GWSS_E_00006_SE_01	15,15	6,44	0,00	0,88	0,50	0,00	5,93	1,39	
GWSS_E_00007_SE_01	20,53	8,43	0,00	3,11	0,33	1,33	5,10	2,22	
GWSS_E_00008_SE_01	20,59	10,18	0,22	1,33	0,00	0,00	5,53	3,32	
GWSS_E_00009_SE_01	18,16	8,07	1,77	1,26	0,25	0,00	4,29	2,52	
GWSS_E_00010_SE_01	22,84	11,42	1,60	2,80	0,60	1,00	2,40	3,00	
GWSS_E_00011_SE_01	36,32	14,06	1,46	4,98	0,00	0,29	11,13	4,39	
GWSS_E_00012_SE_01	29,63	6,05	2,42	7,86	1,21	0,00	8,77	3,33	
GWSS_E_00013_SE_01	28,01	14,43	1,08	1,29	0,00	1,08	4,52	5,60	
GWSS_E_00014_SE_01	18,55	10,18	0,23	0,90	0,00	0,23	5,88	1,13	
GWSS_E_00015_SE_01	11,10	4,42	0,62	0,92	0,31	0,62	2,98	1,23	
GWSS_E_00016_SE_01	11,37	5,62	1,12	0,75	0,12	0,50	1,62	1,62	
GWSS_E_00017_SE_01	20,11	9,62	0,70	1,57	1,57	0,87	4,55	1,22	
GWSS_E_00018_SE_01	12,60	6,82	0,41	2,89	0,00	0,21	1,03	1,24	
GWSS_E_00019_SE_01	23,46	9,93	0,45	1,13	0,68	2,48	6,99	1,80	
GWSS_E_00020_SE_01	28,59	12,43	0,36	4,08	0,53	1,42	7,10	2,66	
GWSS_E_00021_SE_01	33,04	12,15	1,03	5,65	0,34	5,99	5,48	2,40	
GWSS_E_00022_SE_01	13,86	8,01	0,15	1,69	0,00	0,31	1,23	2,46	
