Speech Event	PRELS‰	PDAT‰	ART-ADJ-NN‰	APPR-ART-ADJ-NN‰
FOLK_E_00001_SE_01	1,87	3,44	3,87	0,57	
FOLK_E_00002_SE_01	0,99	0,66	3,95	0,66	
FOLK_E_00003_SE_01	2,75	6,99	8,98	2,99	
FOLK_E_00004_SE_01	4,04	3,44	5,86	1,52	
FOLK_E_00005_SE_01	1,92	1,33	5,46	1,77	
FOLK_E_00006_SE_01	2,02	3,48	8,98	2,93	
FOLK_E_00007_SE_01	3,02	3,54	5,73	1,56	
FOLK_E_00008_SE_01	2,52	4,09	8,35	1,57	
FOLK_E_00009_SE_01	1,62	3,85	4,46	1,22	
FOLK_E_00010_SE_01	0,36	0,36	4,37	0,55	
FOLK_E_00011_SE_01	1,11	0,29	2,60	1,15	
FOLK_E_00012_SE_01	0,97	1,36	1,17	0,00	
FOLK_E_00013_SE_01	1,46	0,73	7,30	2,68	
FOLK_E_00014_SE_01	1,41	0,57	6,78	2,26	
FOLK_E_00015_SE_01	4,41	10,83	4,28	1,89	
FOLK_E_00016_SE_01	1,10	0,88	20,00	3,08	
FOLK_E_00017_SE_01	1,83	0,00	8,56	1,83	
FOLK_E_00018_SE_01	3,03	2,10	5,36	0,93	
FOLK_E_00020_SE_01	0,93	0,70	2,33	0,70	
FOLK_E_00021_SE_01	1,60	1,03	3,30	0,64	
FOLK_E_00022_SE_01	3,08	2,12	2,98	0,61	
FOLK_E_00024_SE_01	3,14	1,20	2,84	1,05	
FOLK_E_00026_SE_01	2,97	2,13	3,91	1,13	
FOLK_E_00027_SE_01	4,49	3,27	5,31	0,41	
FOLK_E_00028_SE_01	6,03	5,82	9,91	3,23	
FOLK_E_00029_SE_01	6,02	3,01	8,53	1,51	
FOLK_E_00030_SE_01	1,85	1,75	2,43	0,29	
FOLK_E_00031_SE_01	4,32	1,96	5,50	0,39	
FOLK_E_00032_SE_01	7,05	3,78	13,86	4,79	
FOLK_E_00033_SE_01	4,17	5,76	11,71	2,58	
FOLK_E_00034_SE_01	3,53	5,07	8,60	3,75	
FOLK_E_00035_SE_01	4,71	8,08	8,76	3,59	
FOLK_E_00036_SE_01	3,64	6,43	9,86	4,71	
FOLK_E_00037_SE_01	2,89	2,31	9,26	2,60	
FOLK_E_00038_SE_01	5,11	3,91	8,42	5,71	
FOLK_E_00039_SE_01	2,91	1,21	6,30	0,97	
FOLK_E_00040_SE_01	1,04	0,46	3,57	0,46	
FOLK_E_00042_SE_01	3,73	2,53	4,05	0,95	
FOLK_E_00043_SE_01	1,67	4,58	7,08	1,25	
FOLK_E_00044_SE_01	9,96	3,03	4,62	1,01	
FOLK_E_00045_SE_01	1,72	1,90	2,24	0,34	
FOLK_E_00046_SE_01	2,43	1,28	4,08	1,79	
FOLK_E_00047_SE_01	2,45	2,56	5,68	1,00	
FOLK_E_00048_SE_01	2,85	2,93	4,39	0,65	
