Speech Event	PRELS‰	PDAT‰	ART-ADJ-NN‰	APPR-ART-ADJ-NN‰
GWSS_E_00001_SE_01	3,27	7,04	9,31	4,03	
GWSS_E_00002_SE_01	7,33	4,26	10,73	2,22	
GWSS_E_00003_SE_01	6,72	5,63	9,75	3,25	
GWSS_E_00004_SE_01	8,66	3,06	7,64	1,53	
GWSS_E_00005_SE_01	3,98	1,59	5,18	0,00	
GWSS_E_00006_SE_01	4,54	10,85	5,17	2,15	
GWSS_E_00007_SE_01	8,32	6,66	10,88	3,88	
GWSS_E_00008_SE_01	4,21	4,87	8,86	3,98	
GWSS_E_00009_SE_01	6,81	3,78	13,87	4,54	
GWSS_E_00010_SE_01	4,41	5,81	10,82	2,60	
GWSS_E_00011_SE_01	3,51	2,34	10,84	3,22	
GWSS_E_00012_SE_01	5,44	3,63	9,37	6,05	
GWSS_E_00013_SE_01	4,31	6,46	8,40	4,31	
GWSS_E_00014_SE_01	4,75	8,14	9,28	3,85	
GWSS_E_00015_SE_01	5,03	12,84	7,29	2,36	
GWSS_E_00016_SE_01	6,37	11,12	6,87	3,00	
GWSS_E_00017_SE_01	8,92	15,04	9,62	2,97	
GWSS_E_00018_SE_01	5,37	13,84	8,47	2,68	
GWSS_E_00019_SE_01	6,99	17,37	11,05	5,87	
GWSS_E_00020_SE_01	11,72	8,88	14,03	5,15	
GWSS_E_00021_SE_01	8,90	15,23	16,95	7,70	
GWSS_E_00022_SE_01	7,39	5,39	5,85	2,93	
GWSS_E_00023_SE_01	4,95	7,49	12,97	5,88	
GWSS_E_00024_SE_01	8,66	14,02	6,32	2,06	
GWSS_E_00025_SE_01	10,86	10,25	11,76	5,28	
GWSS_E_00026_SE_01	10,60	14,58	14,58	5,30	
GWSS_E_00027_SE_01	8,16	8,51	11,12	4,86	
GWSS_E_00028_SE_01	8,15	9,15	13,48	4,99	
GWSS_E_00029_SE_01	5,00	11,00	8,14	3,71	
GWSS_E_00030_SE_01	7,26	14,36	11,62	4,84	
GWSS_E_00031_SE_01	7,23	10,91	12,61	4,96	
GWSS_E_00032_SE_01	2,71	6,50	9,21	3,61	
GWSS_E_00033_SE_01	7,46	14,59	14,43	6,32	
GWSS_E_00034_SE_01	7,02	18,28	7,34	2,28	
GWSS_E_00035_SE_01	7,40	6,05	8,75	4,37	
GWSS_E_00036_SE_01	8,21	4,79	10,26	3,08	
GWSS_E_00040_SE_01	5,21	6,07	10,12	2,89	
GWSS_E_00041_SE_01	6,79	7,96	11,71	3,05	
GWSS_E_00042_SE_01	8,20	2,85	9,63	2,50	
GWSS_E_00047_SE_01	3,44	4,21	6,51	1,91	
GWSS_E_00050_SE_01	9,31	6,21	10,35	4,66	
GWSS_E_00051_SE_01	5,07	10,89	5,07	2,06	
GWSS_E_00052_SE_01	6,26	9,13	11,22	4,43	
GWSS_E_00053_SE_01	3,26	3,26	12,31	4,71	
GWSS_E_00054_SE_01	5,68	14,57	9,80	4,67	
GWSS_E_00055_SE_01	5,07	14,08	13,24	4,51	
GWSS_E_00056_SE_01	6,16	6,16	6,16	2,47	
GWSS_E_00057_SE_01	6,53	11,07	10,51	5,39	
GWSS_E_00058_SE_01	4,24	10,10	6,00	2,34	
GWSS_E_00059_SE_01	6,39	7,50	7,94	3,53	
GWSS_E_00060_SE_01	10,90	8,06	6,87	2,09	
GWSS_E_00061_SE_01	5,30	7,87	13,49	3,37	
GWSS_E_00062_SE_01	1,96	5,55	4,90	0,98	
GWSS_E_00063_SE_01	5,17	11,78	8,33	2,87	
GWSS_E_00064_SE_01	6,07	11,65	12,13	5,58	
GWSS_E_00065_SE_01	4,20	7,17	4,70	1,98	
GWSS_E_00066_SE_01	3,31	6,32	5,12	0,90	
GWSS_E_00067_SE_01	5,13	11,06	11,85	3,55	
GWSS_E_00069_SE_01	2,81	6,73	7,30	2,81	
GWSS_E_00070_SE_01	2,63	4,39	3,51	0,00	
GWSS_E_00071_SE_01	1,88	4,52	4,52	1,13	
GWSS_E_00072_SE_01	4,89	7,34	4,89	0,00	
GWSS_E_00073_SE_01	4,22	6,33	2,95	0,42	
GWSS_E_00074_SE_01	5,31	5,72	6,53	1,22	
GWSS_E_00075_SE_01	6,45	5,26	9,56	3,82	
GWSS_E_00076_SE_01	7,18	8,08	9,54	2,24	
GWSS_E_00077_SE_01	5,20	12,71	4,91	0,87	
GWSS_E_00078_SE_01	5,22	10,74	4,35	0,29	
GWSS_E_00079_SE_01	4,83	6,33	11,46	3,92	
GWSS_E_00080_SE_01	7,32	3,21	8,73	2,05	
GWSS_E_00081_SE_01	6,25	15,49	7,16	1,56	
