Speech Event	normRate%
FOLK_E_00001_SE_01	22,57
FOLK_E_00002_SE_01	8,30
FOLK_E_00003_SE_01	11,21
FOLK_E_00004_SE_01	24,24
FOLK_E_00005_SE_01	28,75
FOLK_E_00006_SE_01	26,27
FOLK_E_00007_SE_01	21,86
FOLK_E_00008_SE_01	23,40
FOLK_E_00009_SE_01	25,76
FOLK_E_00010_SE_01	17,93
FOLK_E_00011_SE_01	16,54
FOLK_E_00012_SE_01	20,26
FOLK_E_00013_SE_01	8,74
FOLK_E_00014_SE_01	12,18
FOLK_E_00015_SE_01	9,43
FOLK_E_00016_SE_01	7,03
FOLK_E_00017_SE_01	10,95
FOLK_E_00018_SE_01	20,56
FOLK_E_00020_SE_01	35,10
FOLK_E_00021_SE_01	17,33
FOLK_E_00022_SE_01	25,94
FOLK_E_00024_SE_01	24,91
FOLK_E_00026_SE_01	22,34
FOLK_E_00027_SE_01	17,70
FOLK_E_00028_SE_01	8,14
FOLK_E_00029_SE_01	11,79
FOLK_E_00030_SE_01	18,11
FOLK_E_00031_SE_01	12,38
FOLK_E_00032_SE_01	6,37
FOLK_E_00033_SE_01	10,98
FOLK_E_00034_SE_01	8,73
FOLK_E_00035_SE_01	7,63
FOLK_E_00036_SE_01	9,34
FOLK_E_00037_SE_01	5,67
FOLK_E_00038_SE_01	8,48
FOLK_E_00039_SE_01	32,21
FOLK_E_00040_SE_01	40,93
FOLK_E_00042_SE_01	16,57
FOLK_E_00043_SE_01	15,28
FOLK_E_00044_SE_01	14,77
FOLK_E_00045_SE_01	16,41
FOLK_E_00046_SE_01	16,29
FOLK_E_00047_SE_01	17,66
FOLK_E_00048_SE_01	16,46
FOLK_E_00049_SE_01	17,64
FOLK_E_00050_SE_01	18,70
FOLK_E_00052_SE_01	16,85
FOLK_E_00053_SE_01	14,48
FOLK_E_00055_SE_01	15,88
FOLK_E_00056_SE_01	9,91
FOLK_E_00057_SE_01	8,73
FOLK_E_00058_SE_01	9,71
FOLK_E_00059_SE_01	10,26
FOLK_E_00060_SE_01	9,30
FOLK_E_00061_SE_01	8,55
FOLK_E_00062_SE_01	7,77
FOLK_E_00064_SE_01	7,21
FOLK_E_00066_SE_01	19,99
FOLK_E_00068_SE_01	11,76
FOLK_E_00069_SE_01	8,60
FOLK_E_00070_SE_01	12,02
FOLK_E_00074_SE_01	15,24
FOLK_E_00076_SE_01	10,88
FOLK_E_00077_SE_01	15,09
FOLK_E_00079_SE_01	16,87
FOLK_E_00080_SE_01	17,85
FOLK_E_00081_SE_01	15,11
FOLK_E_00082_SE_01	22,08
FOLK_E_00083_SE_01	17,43
FOLK_E_00084_SE_01	15,00
FOLK_E_00085_SE_01	21,80
FOLK_E_00086_SE_01	11,95
FOLK_E_00087_SE_01	18,87
FOLK_E_00088_SE_01	15,05
FOLK_E_00089_SE_01	9,58
FOLK_E_00090_SE_01	10,24
FOLK_E_00091_SE_01	14,70
FOLK_E_00092_SE_01	20,35
FOLK_E_00093_SE_01	13,23
FOLK_E_00094_SE_01	13,03
FOLK_E_00095_SE_01	9,69
FOLK_E_00096_SE_01	6,18
FOLK_E_00097_SE_01	10,27
FOLK_E_00098_SE_01	4,36
FOLK_E_00099_SE_01	8,81
FOLK_E_00100_SE_01	10,24
FOLK_E_00101_SE_01	10,79
FOLK_E_00102_SE_01	12,08
FOLK_E_00103_SE_01	8,38
FOLK_E_00104_SE_01	21,48
FOLK_E_00105_SE_01	16,25
FOLK_E_00106_SE_01	10,15
FOLK_E_00107_SE_01	6,49
FOLK_E_00108_SE_01	10,12
FOLK_E_00109_SE_01	9,55
FOLK_E_00110_SE_01	13,70
FOLK_E_00111_SE_01	13,91
FOLK_E_00112_SE_01	30,23
FOLK_E_00113_SE_01	15,67
FOLK_E_00114_SE_01	18,60
FOLK_E_00115_SE_01	14,51
FOLK_E_00116_SE_01	20,16
FOLK_E_00117_SE_01	26,63
FOLK_E_00118_SE_01	15,82
FOLK_E_00119_SE_01	19,50
FOLK_E_00120_SE_01	11,60
FOLK_E_00121_SE_01	14,95
FOLK_E_00123_SE_01	19,85
FOLK_E_00124_SE_01	12,49
FOLK_E_00125_SE_01	12,13
FOLK_E_00126_SE_01	8,84
FOLK_E_00127_SE_01	14,06
FOLK_E_00128_SE_01	24,12
FOLK_E_00129_SE_01	14,02
FOLK_E_00130_SE_01	9,74
FOLK_E_00132_SE_01	14,41
FOLK_E_00133_SE_01	26,33
FOLK_E_00134_SE_01	23,31
FOLK_E_00135_SE_01	19,39
FOLK_E_00136_SE_01	25,20
FOLK_E_00137_SE_01	26,01
FOLK_E_00138_SE_01	18,91
FOLK_E_00139_SE_01	32,88
FOLK_E_00140_SE_01	20,67
FOLK_E_00141_SE_01	31,22
FOLK_E_00142_SE_01	25,98
FOLK_E_00143_SE_01	46,84
FOLK_E_00144_SE_01	32,61
FOLK_E_00146_SE_01	13,07
FOLK_E_00147_SE_01	20,35
FOLK_E_00148_SE_01	25,19
FOLK_E_00150_SE_01	14,06
FOLK_E_00151_SE_01	48,35
FOLK_E_00152_SE_01	16,36
FOLK_E_00153_SE_01	10,42
FOLK_E_00154_SE_01	9,09
FOLK_E_00155_SE_01	29,03
FOLK_E_00156_SE_01	17,31
FOLK_E_00157_SE_01	16,82
FOLK_E_00158_SE_01	10,28
FOLK_E_00159_SE_01	22,03
FOLK_E_00160_SE_01	13,88
FOLK_E_00161_SE_01	18,52
FOLK_E_00162_SE_01	14,53
FOLK_E_00163_SE_01	11,55
FOLK_E_00165_SE_01	16,87
FOLK_E_00166_SE_01	23,17
FOLK_E_00167_SE_01	22,03
FOLK_E_00168_SE_01	17,35
FOLK_E_00169_SE_01	16,11
FOLK_E_00171_SE_01	18,81
FOLK_E_00172_SE_01	15,28
FOLK_E_00173_SE_01	17,73
