Speech Event	normRate%
GWSS_E_00001_SE_01	8,81
GWSS_E_00002_SE_01	7,28
GWSS_E_00003_SE_01	5,29
GWSS_E_00004_SE_01	10,04
GWSS_E_00005_SE_01	10,51
GWSS_E_00006_SE_01	8,05
GWSS_E_00007_SE_01	7,31
GWSS_E_00008_SE_01	7,37
GWSS_E_00009_SE_01	4,41
GWSS_E_00010_SE_01	9,72
GWSS_E_00011_SE_01	4,34
GWSS_E_00012_SE_01	6,11
GWSS_E_00013_SE_01	7,78
GWSS_E_00014_SE_01	5,77
GWSS_E_00015_SE_01	9,24
GWSS_E_00016_SE_01	9,51
GWSS_E_00017_SE_01	5,60
GWSS_E_00018_SE_01	8,20
GWSS_E_00019_SE_01	6,61
GWSS_E_00020_SE_01	6,46
GWSS_E_00021_SE_01	3,82
GWSS_E_00022_SE_01	8,79
GWSS_E_00023_SE_01	7,53
GWSS_E_00024_SE_01	5,50
GWSS_E_00025_SE_01	7,51
GWSS_E_00026_SE_01	3,73
GWSS_E_00027_SE_01	6,98
GWSS_E_00028_SE_01	5,17
GWSS_E_00029_SE_01	7,07
GWSS_E_00030_SE_01	5,75
GWSS_E_00031_SE_01	6,76
GWSS_E_00032_SE_01	7,46
GWSS_E_00033_SE_01	4,25
GWSS_E_00034_SE_01	8,06
GWSS_E_00035_SE_01	10,76
GWSS_E_00036_SE_01	8,66
GWSS_E_00040_SE_01	10,56
GWSS_E_00041_SE_01	8,39
GWSS_E_00042_SE_01	9,34
GWSS_E_00047_SE_01	12,82
GWSS_E_00050_SE_01	4,55
GWSS_E_00051_SE_01	6,91
GWSS_E_00052_SE_01	8,61
GWSS_E_00053_SE_01	8,61
GWSS_E_00054_SE_01	8,46
GWSS_E_00055_SE_01	7,01
GWSS_E_00056_SE_01	7,45
GWSS_E_00057_SE_01	4,83
GWSS_E_00058_SE_01	9,05
GWSS_E_00059_SE_01	6,99
GWSS_E_00060_SE_01	6,72
GWSS_E_00061_SE_01	5,17
GWSS_E_00062_SE_01	10,84
GWSS_E_00063_SE_01	6,21
GWSS_E_00064_SE_01	4,80
GWSS_E_00065_SE_01	6,85
GWSS_E_00066_SE_01	9,03
GWSS_E_00067_SE_01	5,88
GWSS_E_00069_SE_01	7,35
GWSS_E_00070_SE_01	9,35
GWSS_E_00071_SE_01	5,88
GWSS_E_00072_SE_01	8,20
GWSS_E_00073_SE_01	8,23
GWSS_E_00074_SE_01	8,62
GWSS_E_00075_SE_01	5,42
GWSS_E_00076_SE_01	7,40
GWSS_E_00077_SE_01	5,55
GWSS_E_00078_SE_01	5,48
GWSS_E_00079_SE_01	5,76
GWSS_E_00080_SE_01	6,40
GWSS_E_00081_SE_01	7,04
GWSS_E_00082_SE_01	5,94
GWSS_E_00083_SE_01	7,66
GWSS_E_00084_SE_01	8,54
GWSS_E_00085_SE_01	4,27
GWSS_E_00086_SE_01	1,07
GWSS_E_00087_SE_01	2,54
GWSS_E_00088_SE_01	2,66
GWSS_E_00089_SE_01	2,64
GWSS_E_00090_SE_01	3,15
GWSS_E_00091_SE_01	1,37
GWSS_E_00092_SE_01	4,14
GWSS_E_00093_SE_01	4,52
GWSS_E_00094_SE_01	3,81
GWSS_E_00095_SE_01	1,99
GWSS_E_00096_SE_01	4,51
GWSS_E_00097_SE_01	1,99
GWSS_E_00098_SE_01	3,83
GWSS_E_00099_SE_01	2,12
GWSS_E_00100_SE_01	2,04
GWSS_E_00101_SE_01	4,43
GWSS_E_00102_SE_01	2,37
GWSS_E_00103_SE_01	4,54
GWSS_E_00104_SE_01	1,95
GWSS_E_00105_SE_01	2,27
GWSS_E_00106_SE_01	2,05
GWSS_E_00107_SE_01	2,26
GWSS_E_00108_SE_01	1,58
GWSS_E_00109_SE_01	2,46
GWSS_E_00110_SE_01	3,72
GWSS_E_00111_SE_01	0,90
GWSS_E_00112_SE_01	4,64
GWSS_E_00113_SE_01	2,90
GWSS_E_00114_SE_01	1,41
GWSS_E_00115_SE_01	3,45
GWSS_E_00116_SE_01	2,56
GWSS_E_00117_SE_01	2,61
GWSS_E_00118_SE_01	3,26
GWSS_E_00119_SE_01	3,55
GWSS_E_00120_SE_01	3,33
