Speech Event	contributions per minute	average contribution length	% contributions with 1-2 words
FOLK_E_00001_SE_01	9,49	13,47	28,92	
FOLK_E_00002_SE_01	6,80	14,24	34,60	
FOLK_E_00003_SE_01	12,25	16,35	22,71	
FOLK_E_00004_SE_01	8,07	16,96	31,29	
FOLK_E_00005_SE_01	9,19	9,65	31,41	
FOLK_E_00006_SE_01	8,24	15,86	24,57	
FOLK_E_00007_SE_01	7,38	15,84	28,37	
FOLK_E_00008_SE_01	7,97	14,08	32,14	
FOLK_E_00009_SE_01	7,80	16,43	26,49	
FOLK_E_00010_SE_01	17,71	6,48	31,33	
FOLK_E_00011_SE_01	20,29	6,06	33,22	
FOLK_E_00012_SE_01	19,23	6,64	28,96	
FOLK_E_00013_SE_01	13,77	7,87	30,49	
FOLK_E_00014_SE_01	15,10	7,22	37,87	
FOLK_E_00015_SE_01	8,14	19,75	27,60	
FOLK_E_00016_SE_01	3,79	27,79	38,65	
FOLK_E_00017_SE_01	10,02	10,80	43,66	
FOLK_E_00018_SE_01	23,16	8,59	24,55	
FOLK_E_00020_SE_01	28,36	5,46	37,85	
FOLK_E_00021_SE_01	41,03	4,14	42,93	
FOLK_E_00022_SE_01	13,83	11,69	34,28	
FOLK_E_00024_SE_01	19,55	10,84	31,61	
FOLK_E_00026_SE_01	13,55	13,12	32,63	
FOLK_E_00027_SE_01	15,57	9,46	26,82	
FOLK_E_00028_SE_01	9,13	16,93	23,13	
FOLK_E_00029_SE_01	12,19	9,12	33,15	
FOLK_E_00030_SE_01	14,85	8,11	25,71	
FOLK_E_00031_SE_01	15,61	8,92	33,33	
FOLK_E_00032_SE_01	7,36	18,24	24,64	
FOLK_E_00033_SE_01	8,45	19,02	25,66	
FOLK_E_00034_SE_01	8,98	16,05	24,64	
FOLK_E_00035_SE_01	8,55	16,87	27,65	
FOLK_E_00036_SE_01	8,15	18,04	21,77	
FOLK_E_00037_SE_01	5,88	18,38	26,01	
FOLK_E_00038_SE_01	9,16	12,21	28,09	
FOLK_E_00039_SE_01	20,40	6,04	41,15	
FOLK_E_00040_SE_01	21,52	5,50	37,82	
FOLK_E_00042_SE_01	21,09	11,41	23,79	
FOLK_E_00043_SE_01	18,10	8,55	23,76	
FOLK_E_00044_SE_01	13,71	14,59	32,72	
FOLK_E_00045_SE_01	22,55	9,34	23,70	
FOLK_E_00046_SE_01	22,23	9,91	20,86	
FOLK_E_00047_SE_01	16,04	9,70	24,33	
FOLK_E_00048_SE_01	25,38	8,66	32,13	
FOLK_E_00049_SE_01	18,54	11,27	18,71	
FOLK_E_00050_SE_01	20,81	9,79	32,52	
FOLK_E_00052_SE_01	18,40	7,22	34,68	
FOLK_E_00053_SE_01	23,11	7,42	31,19	
FOLK_E_00055_SE_01	25,50	8,84	34,28	
FOLK_E_00056_SE_01	15,68	11,12	37,41	
FOLK_E_00057_SE_01	7,32	21,91	25,70	
FOLK_E_00058_SE_01	10,62	17,53	35,20	
FOLK_E_00059_SE_01	8,45	21,47	25,53	
FOLK_E_00060_SE_01	13,43	12,02	28,73	
FOLK_E_00061_SE_01	9,74	17,28	33,70	
FOLK_E_00062_SE_01	10,02	13,45	34,60	
FOLK_E_00064_SE_01	4,08	54,16	21,37	
FOLK_E_00066_SE_01	15,24	11,27	28,69	
FOLK_E_00068_SE_01	6,09	49,58	27,97	
FOLK_E_00069_SE_01	6,68	26,24	24,14	
FOLK_E_00070_SE_01	5,58	52,20	22,23	
FOLK_E_00074_SE_01	17,02	8,58	34,30	
FOLK_E_00076_SE_01	8,18	11,39	29,24	
FOLK_E_00077_SE_01	16,94	10,61	30,26	
FOLK_E_00079_SE_01	18,00	7,61	33,46	
FOLK_E_00080_SE_01	13,35	9,12	25,81	
FOLK_E_00081_SE_01	14,67	8,80	28,79	
FOLK_E_00082_SE_01	25,63	9,98	32,29	
FOLK_E_00083_SE_01	7,81	12,41	38,19	
FOLK_E_00084_SE_01	14,24	14,56	23,72	
FOLK_E_00085_SE_01	11,75	7,66	26,88	
FOLK_E_00086_SE_01	18,52	8,17	31,06	
FOLK_E_00087_SE_01	19,01	7,50	36,02	
FOLK_E_00088_SE_01	18,16	8,65	24,32	
FOLK_E_00089_SE_01	19,67	8,46	32,89	
FOLK_E_00090_SE_01	17,34	7,90	38,22	
