Speech Event	contributions per minute	average contribution length	% contributions with 1-2 words
GWSS_E_00001_SE_01	12,56	15,74	21,79	
GWSS_E_00002_SE_01	13,44	13,33	35,53	
GWSS_E_00003_SE_01	6,13	25,13	20,39	
GWSS_E_00004_SE_01	12,12	10,89	36,11	
GWSS_E_00005_SE_01	18,32	7,23	37,57	
GWSS_E_00006_SE_01	7,81	22,92	30,71	
GWSS_E_00007_SE_01	4,97	32,99	21,72	
GWSS_E_00008_SE_01	8,55	17,52	23,19	
GWSS_E_00009_SE_01	6,26	21,63	18,18	
GWSS_E_00010_SE_01	8,74	17,37	30,66	
GWSS_E_00011_SE_01	6,16	19,19	24,86	
GWSS_E_00012_SE_01	11,36	10,16	40,18	
GWSS_E_00013_SE_01	6,71	22,32	18,63	
GWSS_E_00014_SE_01	7,67	16,73	29,54	
GWSS_E_00015_SE_01	9,95	20,04	33,08	
GWSS_E_00016_SE_01	6,72	29,09	26,76	
GWSS_E_00017_SE_01	8,34	22,58	22,61	
GWSS_E_00018_SE_01	7,90	20,42	34,25	
GWSS_E_00019_SE_01	7,52	23,43	31,80	
GWSS_E_00020_SE_01	1,69	87,81	17,91	
GWSS_E_00021_SE_01	3,69	34,29	44,17	
GWSS_E_00022_SE_01	5,97	28,29	41,27	
GWSS_E_00023_SE_01	3,67	45,48	26,90	
GWSS_E_00024_SE_01	1,86	98,30	21,52	
GWSS_E_00025_SE_01	2,69	51,13	20,47	
GWSS_E_00026_SE_01	0,73	190,74	17,65	
GWSS_E_00027_SE_01	0,70	182,71	19,35	
GWSS_E_00028_SE_01	1,94	86,96	31,08	
GWSS_E_00029_SE_01	1,77	117,43	17,14	
GWSS_E_00030_SE_01	2,52	49,90	25,00	
GWSS_E_00031_SE_01	3,13	46,57	32,41	
GWSS_E_00032_SE_01	4,87	29,62	36,07	
GWSS_E_00033_SE_01	2,40	62,36	40,82	
GWSS_E_00034_SE_01	6,21	25,26	34,32	
GWSS_E_00035_SE_01	3,77	44,89	22,73	
GWSS_E_00036_SE_01	3,79	44,14	19,18	
GWSS_E_00040_SE_01	2,83	53,51	12,16	
GWSS_E_00041_SE_01	3,34	50,21	32,14	
GWSS_E_00042_SE_01	4,66	29,84	28,26	
